1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 8088.24),(2 13898.722),(3 22128.193),(4 32357.03),(5 42217.332),(6 60132.223),(7 72916.65),(8 96672.29),(9 110352.78),(10 133088.33),(11 154472.66),(12 172278.55),(13 193890.5),(14 213729.38),(15 234709.31),(16 251578.08),(17 271467.06),(18 293626.66),(19 310910.7),(20 327639.38),(21 340686.03),(22 355531.9),(23 370197.5),(24 378639.1),(25 389638.72),(26 399063.16),(27 408495.16),(28 414912.4),(29 420530.84),(30 425907.25),(31 428061.6),(32 432290.75),(33 433198.4),(34 443323.9),(35 453575.1),(36 471424.63),(37 490315),(38 504862.1),(39 520198.25),(40 526248.2),(41 542105.8),(42 559076),(43 580303.8),(44 608032.6),(45 626568.6),(46 667438.1),(47 699158.2),(48 740326.5),(49 784952),(50 842731.8),(51 889296.56),(52 944752.8),(53 1010958.5),(54 1058816.4),(55 1137437.5),(56 1203284.6),(57 1261259.4),(58 1351784.5),(59 1418837.4),(60 1517309.4),(61 1598872.9),(62 1693353.4),(63 1780491.4),(64 1862410.1),(65 1969867.6),(66 2064355.4),(67 2174269.3),(68 2248607.8),(69 2322454.8),(70 2416792),(71 2467586),(72 2557235.5),(73 2627950.8),(74 2711427.5),(75 2787099),(76 2839331.3),(77 2908918.3),(78 2982787.3),(79 3044726.3),
(1 18676.105),(2 64805.11),(3 120575.305),(4 199148.13),(5 287706.63),(6 392220.75),(7 502932.44),(8 616682.94),(9 720219.6),(10 826933.8),(11 933898.44),(12 1037782.94),(13 1137514.8),(14 1220503.4),(15 1283090.1),(16 1331255.9),(17 1367455.3),(18 1391043.4),(19 1395096),(20 1383452.4),(21 1360160.9),(22 1324353.9),(23 1290883),(24 1244879.6),(25 1197299.9),(26 1156627.6),(27 1122444.4),(28 1096945.1),(29 1077880.8),(30 1052930.3),(31 1040516),(32 1038131.06),(33 1039424.2),(34 1055783.5),(35 1076043),(36 1105199.6),(37 1139799.1),(38 1173347.4),(39 1204624.8),(40 1239889.9),(41 1282258.8),(42 1327005.3),(43 1368260.9),(44 1411770.3),(45 1441785),(46 1467212.9),(47 1480550.6),(48 1481103.9),(49 1474238.1),(50 1464064.8),(51 1450987),(52 1421528.1),(53 1399877.3),(54 1382874.8),(55 1369129.8),(56 1357902.1),(57 1346407.9),(58 1341505.4),(59 1335200.8),(60 1333002.9),(61 1334423.6),(62 1331109.3),(63 1329954),(64 1327944.5),(65 1334173),(66 1340771.1),(67 1352365.3),(68 1360859),(69 1368506.8),(70 1372088.4),(71 1371917.9),(72 1371025.6),(73 1369818),(74 1367666.8),(75 1364349.9),(76 1359534.9),(77 1358346.4),(78 1355631.5),(79 1359629.1),
(1 11671.743),(2 37320.125),(3 68030.56),(4 110863.73),(5 160195.69),(6 219171.33),(7 282409.78),(8 346852.63),(9 405130.9),(10 467193.9),(11 529394.44),(12 593942.1),(13 657681.3),(14 711238.5),(15 751421.5),(16 791688.3),(17 826544.75),(18 858661.2),(19 884076),(20 901611.25),(21 908696),(22 914541),(23 922959.06),(24 927937.25),(25 936485.2),(26 944117.2),(27 950886.8),(28 962086.8),(29 979397.06),(30 992017),(31 1006793.3),(32 1020579.3),(33 1039215.8),(34 1058958.1),(35 1079782.6),(36 1096760.5),(37 1112997),(38 1128956.1),(39 1145544.1),(40 1159927.9),(41 1174201.4),(42 1184008.6),(43 1194874.9),(44 1205655.1),(45 1208972),(46 1212848),(47 1209909.6),(48 1205210),(49 1195374.3),(50 1182905),(51 1170342.4),(52 1153493.1),(53 1142315.1),(54 1131670.4),(55 1119960.5),(56 1111940.6),(57 1103453.4),(58 1098081.5),(59 1092221.5),(60 1085757.6),(61 1078490.4),(62 1068510),(63 1060049.8),(64 1052760.1),(65 1044632.7),(66 1035875.2),(67 1028174),(68 1021534.7),(69 1009795),(70 1000524.06),(71 991915.3),(72 982094.56),(73 974104.3),(74 962833.3),(75 954876.5),(76 948044.25),(77 948290),(78 949416.7),(79 957936.5),
(1 11929.968),(2 38411.17),(3 70131.625),(4 113091.22),(5 161919.7),(6 219902.52),(7 283794.97),(8 351779.53),(9 411483.75),(10 480874.6),(11 549139.94),(12 619149.4),(13 686713.6),(14 746322.75),(15 793449.8),(16 846337.1),(17 901273.25),(18 955188.3),(19 1005935.6),(20 1053726.3),(21 1084245.6),(22 1121140.6),(23 1152922.1),(24 1182672.9),(25 1213610),(26 1240307.1),(27 1258487.4),(28 1280818.8),(29 1295684.1),(30 1303838.4),(31 1302201.3),(32 1295127.6),(33 1290699),(34 1285775.5),(35 1274744.8),(36 1270087),(37 1260527.4),(38 1247834.4),(39 1243126.6),(40 1240052.1),(41 1234906.8),(42 1225215.1),(43 1216966.4),(44 1203987.6),(45 1199285.8),(46 1182718.5),(47 1164102.6),(48 1149329.8),(49 1135262.8),(50 1121687.6),(51 1115723.9),(52 1107582.8),(53 1103701),(54 1098480.8),(55 1097482),(56 1099725),(57 1098172.5),(58 1098960.5),(59 1097778.8),(60 1100814),(61 1096877.8),(62 1090765.3),(63 1079806.3),(64 1070123.3),(65 1054321.4),(66 1035383.7),(67 1015900.2),(68 995098.56),(69 973821.94),(70 954489.44),(71 939102.06),(72 925181.25),(73 917386.25),(74 914677.6),(75 911986.5),(76 912700),(77 919944.6),(78 928032.25),(79 943848.94),
(1 21813.615),(2 74097.03),(3 141873.55),(4 233874.4),(5 337504.7),(6 459559.44),(7 589424.44),(8 721129.5),(9 834558.25),(10 955142.9),(11 1067903.5),(12 1175623.9),(13 1268004.4),(14 1346430.8),(15 1402999),(16 1461203.5),(17 1512944),(18 1559548.1),(19 1594157.3),(20 1624508.6),(21 1641335.9),(22 1667746.4),(23 1693972.6),(24 1729858.5),(25 1761230.1),(26 1784712.6),(27 1805958.3),(28 1826952.4),(29 1848920.5),(30 1869735),(31 1882109.6),(32 1892928.1),(33 1893142.9),(34 1888009),(35 1864756),(36 1833829.8),(37 1786067),(38 1722855.3),(39 1668672.4),(40 1595048.8),(41 1519340.1),(42 1442166.4),(43 1361704.6),(44 1281351.9),(45 1217750.4),(46 1154594.4),(47 1106149.9),(48 1069565.3),(49 1054352),(50 1056223.3),(51 1074422.5),(52 1097069.3),(53 1128847.6),(54 1174132.5),(55 1227347.9),(56 1278399.3),(57 1326128.1),(58 1366426.4),(59 1398209.5),(60 1432518.4),(61 1457449.6),(62 1472147),(63 1476142.1),(64 1473033.9),(65 1462769.9),(66 1443891.5),(67 1418526.1),(68 1389160.6),(69 1358958.9),(70 1334012.6),(71 1318938.8),(72 1314313.9),(73 1327301.9),(74 1354681.3),(75 1379353.6),(76 1434966.5),(77 1502967.4),(78 1577679),(79 1657050.4),
(1 19383.371),(2 66634.555),(3 125641.19),(4 207334.7),(5 301607.72),(6 413244.97),(7 533469.7),(8 657628.25),(9 761250.8),(10 878053.5),(11 985008),(12 1089106.5),(13 1180224.9),(14 1259727.8),(15 1312038.9),(16 1364092.8),(17 1407112.3),(18 1442894.4),(19 1467405.5),(20 1479876.5),(21 1487959.4),(22 1496806.9),(23 1495095.8),(24 1495502.9),(25 1495782.9),(26 1488742.5),(27 1491211),(28 1483097),(29 1472041.8),(30 1458831),(31 1443857.9),(32 1427762.6),(33 1416250.6),(34 1403520.6),(35 1391731.1),(36 1375188.9),(37 1351979.3),(38 1328819.8),(39 1302397.9),(40 1278603.5),(41 1259677.5),(42 1235426.9),(43 1202884.5),(44 1171320.6),(45 1144215.5),(46 1120171.6),(47 1101770.5),(48 1085354.5),(49 1080809.9),(50 1078634.3),(51 1087600.6),(52 1099863.8),(53 1114404.8),(54 1133823.9),(55 1158101.1),(56 1185911.8),(57 1216202.9),(58 1242710.3),(59 1273530.9),(60 1308245.1),(61 1345152.6),(62 1374640.6),(63 1394260),(64 1412742.5),(65 1426495.1),(66 1434377.1),(67 1443825.1),(68 1446125.8),(69 1438125.8),(70 1435766.5),(71 1429129.9),(72 1420827.3),(73 1419292.9),(74 1416842.4),(75 1414649.5),(76 1422196.5),(77 1436658.6),(78 1452410.6),(79 1471283.3),
(1 18690.54),(2 62443.41),(3 117593.39),(4 189308.77),(5 271869.44),(6 370228.66),(7 477100),(8 585682),(9 675762.4),(10 771751.4),(11 859777.25),(12 946285.2),(13 1022623.44),(14 1084914.6),(15 1129972.3),(16 1172994.6),(17 1208077.9),(18 1234284.4),(19 1250785.8),(20 1257919.3),(21 1266214.4),(22 1267584.5),(23 1264770.6),(24 1262314.6),(25 1257434.1),(26 1252293.1),(27 1248857.5),(28 1235409.3),(29 1218206),(30 1198564.5),(31 1176088.3),(32 1148893.4),(33 1116423.9),(34 1082938.5),(35 1047478.25),(36 1013186.8),(37 983076.44),(38 962981.3),(39 945526.44),(40 937844.4),(41 939232.94),(42 943130.8),(43 956431.2),(44 981928),(45 1003532.94),(46 1029875.3),(47 1056333.3),(48 1086603.4),(49 1121438.9),(50 1155761.5),(51 1185682.4),(52 1209340),(53 1228698.3),(54 1243551.9),(55 1248774.1),(56 1246798.1),(57 1238711.5),(58 1222949.8),(59 1196345.1),(60 1168619.3),(61 1137532.9),(62 1105947.8),(63 1075138.1),(64 1043538.4),(65 1014160.7),(66 984072.94),(67 966807.3),(68 957623.1),(69 952517.6),(70 957184.25),(71 964866.8),(72 980302.44),(73 1002382.7),(74 1026332.06),(75 1050838.9),(76 1074412.5),(77 1099765.1),(78 1128484.5),(79 1149393.5),
(1 18135.521),(2 61289.516),(3 114383.82),(4 188014.06),(5 274736.06),(6 378075.06),(7 490452.13),(8 611089.2),(9 708895.9),(10 816650.44),(11 916832.6),(12 1011507.1),(13 1089739.1),(14 1147736.8),(15 1188570.8),(16 1219481.5),(17 1229786.8),(18 1231219.5),(19 1211743.5),(20 1174910.4),(21 1144519.8),(22 1103494.5),(23 1066615.3),(24 1035074.3),(25 1008580.06),(26 989026.44),(27 975737.7),(28 964070.06),(29 958634.9),(30 960913.06),(31 973120.9),(32 992352.4),(33 1006096.6),(34 1026459.25),(35 1041686.94),(36 1045041.2),(37 1033922.7),(38 1017763.1),(39 1002550.2),(40 984054.94),(41 966154.1),(42 943153.3),(43 918416.7),(44 893134.56),(45 870268.5),(46 850661.44),(47 831543.44),(48 816001.2),(49 809076.25),(50 805876.4),(51 805109.56),(52 808354.06),(53 817235.5),(54 830984.94),(55 845311.6),(56 860614.2),(57 871673.8),(58 881871.44),(59 893268.5),(60 901856.75),(61 910275.2),(62 915035.6),(63 917828.9),(64 915905.2),(65 914025.56),(66 907061.8),(67 898242.25),(68 897796.8),(69 895041.25),(70 901960.4),(71 905737.5),(72 910517.1),(73 921942.7),(74 931501.7),(75 938506.56),(76 946967.7),(77 954076),(78 958901.75),(79 960320.9),
(1 13595.189),(2 42782.383),(3 76826),(4 121369.234),(5 172138.55),(6 230564.5),(7 288589.25),(8 344861.3),(9 388347.8),(10 437146.5),(11 480367.34),(12 523741.22),(13 558709.7),(14 588184.7),(15 605766.06),(16 630987.25),(17 654785.56),(18 681465.8),(19 707718.3),(20 728280.75),(21 750276.25),(22 771619),(23 795883.8),(24 821614.94),(25 846809.5),(26 876287),(27 904612.1),(28 930784.44),(29 954753.3),(30 976127.44),(31 995845.8),(32 1010813.75),(33 1023472.5),(34 1028504.25),(35 1027831.75),(36 1021400.75),(37 1004158.3),(38 983059.25),(39 955752.1),(40 926096),(41 895524.4),(42 858170.56),(43 820917.94),(44 782599.2),(45 751684.75),(46 723157),(47 696153.25),(48 671372.5),(49 655925.8),(50 649690.06),(51 651017.7),(52 657329.8),(53 666586.6),(54 684125.3),(55 706598),(56 731819.3),(57 750450.25),(58 775010.44),(59 795377.7),(60 813837.8),(61 824678.3),(62 827905.5),(63 828094.44),(64 821275.75),(65 816211),(66 806883.6),(67 793759.4),(68 782296.1),(69 775556.75),(70 771543.5),(71 772611.75),(72 774863.5),(73 781765.2),(74 791950.75),(75 798831.5),(76 806759.75),(77 811542),(78 818863.75),(79 826609.56),
(1 15541.707),(2 50683.863),(3 93937.83),(4 150476.34),(5 215179.86),(6 290293.03),(7 365958.06),(8 439044.88),(9 497937.66),(10 560264.06),(11 615458.5),(12 667084.25),(13 708676.44),(14 742251.1),(15 762887.8),(16 786534.2),(17 800728.06),(18 816568.56),(19 830022),(20 840189.5),(21 847368.9),(22 855882.06),(23 863768.44),(24 872709.06),(25 882589.06),(26 896532.06),(27 915629.7),(28 938401.5),(29 962290.9),(30 988145.75),(31 1014287.94),(32 1043082.25),(33 1066042.5),(34 1087260.5),(35 1098521.5),(36 1102617.1),(37 1096074),(38 1083678.8),(39 1068670.8),(40 1042771.4),(41 1010231.2),(42 968304.6),(43 923446.56),(44 884253.7),(45 850590.06),(46 820690.2),(47 796790.5),(48 778102.9),(49 771206.75),(50 775994.8),(51 783327.9),(52 798606),(53 819863),(54 846708.4),(55 878826.56),(56 909740.44),(57 935326),(58 960208.25),(59 975939.44),(60 986480.5),(61 988042.7),(62 983033),(63 972734.5),(64 957486.44),(65 941348.1),(66 918553.6),(67 894826.3),(68 868169.56),(69 846731.25),(70 832623.8),(71 824810.4),(72 821228.94),(73 821712.94),(74 829448.06),(75 841718.4),(76 858851.56),(77 875834.7),(78 894357.94),(79 911654.3),
(1 18734.695),(2 62227.62),(3 113076.98),(4 180070.95),(5 256451.08),(6 341376.7),(7 425425.3),(8 503012.53),(9 557146.75),(10 613226.2),(11 660665.44),(12 701318.4),(13 730051.5),(14 743789.8),(15 753124.6),(16 756809.8),(17 756218.1),(18 759171.44),(19 764254.25),(20 773293.3),(21 787916.3),(22 801288.6),(23 815331.56),(24 829384.5),(25 844985),(26 860978.2),(27 874747.1),(28 887470.94),(29 893499.4),(30 896973.4),(31 892766.06),(32 888681.3),(33 880719),(34 868299.94),(35 857268.6),(36 843257.56),(37 829891),(38 818122.5),(39 803835.1),(40 794768.44),(41 783699.9),(42 766176.2),(43 749276.8),(44 734693.4),(45 725380.5),(46 719717.8),(47 716465.4),(48 711997),(49 714113.8),(50 722381),(51 735155),(52 747191.06),(53 760813.9),(54 778117.7),(55 796729.06),(56 812402),(57 825205.06),(58 836256.4),(59 842864.44),(60 850140.3),(61 854960.75),(62 858778.6),(63 855798.9),(64 859824.2),(65 867832.56),(66 875434.6),(67 885645.56),(68 898110.6),(69 914115.25),(70 938230.25),(71 963130.8),(72 987099.8),(73 1009754.06),(74 1033013.8),(75 1050885),(76 1058969.3),(77 1062519.9),(78 1063566),(79 1055336.3),
(1 21314.85),(2 72106.82),(3 132941.92),(4 216098.77),(5 308615.13),(6 409741.16),(7 510828.56),(8 600812.44),(9 665228.25),(10 725025.94),(11 770154.2),(12 802969),(13 813435.6),(14 813059.9),(15 803185),(16 792510.1),(17 785655.06),(18 781658.5),(19 789250.75),(20 803419.56),(21 826054.9),(22 853225.94),(23 886453.94),(24 924887.75),(25 969259.44),(26 1010644.1),(27 1044006.75),(28 1070872.3),(29 1085792.8),(30 1092219.5),(31 1084296.9),(32 1063523.8),(33 1036760.7),(34 1002852.44),(35 961997.5),(36 917870.06),(37 875343.7),(38 835308.3),(39 802144.56),(40 771542.4),(41 749354.75),(42 731657.44),(43 722802.2),(44 718728.9),(45 723825.7),(46 735313.44),(47 746817.8),(48 763014.6),(49 784285.44),(50 809602.8),(51 831983.4),(52 852643.8),(53 872003.8),(54 892777.6),(55 915229.7),(56 935587.1),(57 945540.75),(58 956949.06),(59 962278.6),(60 962800),(61 957947.25),(62 950651.9),(63 947082.2),(64 944541.6),(65 946362.9),(66 953005.7),(67 961861),(68 976957.25),(69 993683.06),(70 1012749.1),(71 1028673.4),(72 1042145.5),(73 1050839.9),(74 1056508.1),(75 1056100.4),(76 1042373.6),(77 1027116.56),(78 1006434.75),(79 979941.94),
(1 37257.164),(2 129558.18),(3 242149.56),(4 400511.34),(5 584306),(6 784775.06),(7 986065.56),(8 1165862.8),(9 1293641.1),(10 1414043.5),(11 1494461.5),(12 1539249.1),(13 1537676.4),(14 1508366.9),(15 1466832.3),(16 1402636.5),(17 1336897.5),(18 1260531.5),(19 1195289.3),(20 1133383.6),(21 1090920),(22 1044341.25),(23 1007950.9),(24 978633.9),(25 961275.44),(26 943373.9),(27 933986.9),(28 915967),(29 897692.25),(30 880359.9),(31 865457.25),(32 856676.9),(33 848871.3),(34 850407.6),(35 857513.3),(36 869009.7),(37 895458.25),(38 926128.25),(39 944333.1),(40 967283.44),(41 983039.3),(42 994556.44),(43 985923.25),(44 958056.9),(45 939691.56),(46 906782.75),(47 874698.06),(48 845230.25),(49 827093.75),(50 823126.44),(51 824036.2),(52 841134),(53 868491.7),(54 903923.56),(55 948571.3),(56 992612.75),(57 1018016.75),(58 1044109.44),(59 1057977.5),(60 1056283.9),(61 1038857.75),(62 1010964.3),(63 991141.56),(64 957376.9),(65 921225.8),(66 882131),(67 856011.5),(68 843240.06),(69 846786.7),(70 862182.75),(71 898032.3),(72 954066),(73 1026041.75),(74 1108792.4),(75 1174501.4),(76 1248018.3),(77 1310770),(78 1355973.4),(79 1373143.3),
(1 39343.004),(2 135118.2),(3 255694.7),(4 412587.13),(5 589040.3),(6 782092.8),(7 969323.94),(8 1142368.1),(9 1269378.3),(10 1385361),(11 1467994.4),(12 1516884.1),(13 1525309.3),(14 1508918.9),(15 1477363.1),(16 1434230.4),(17 1383209.1),(18 1321367.5),(19 1256119.4),(20 1192180.5),(21 1137887.1),(22 1079821.3),(23 1027048.06),(24 981604),(25 941625.1),(26 910023.75),(27 892390.5),(28 882952.56),(29 883710.25),(30 899749),(31 933053.4),(32 977273.5),(33 1014158.8),(34 1063448.5),(35 1110684.1),(36 1155465.9),(37 1185547.3),(38 1200239.9),(39 1203046.8),(40 1186531.6),(41 1155260.1),(42 1114834.4),(43 1067241.3),(44 1013876.75),(45 970531.75),(46 930339.2),(47 904030.1),(48 888865.4),(49 895687),(50 923852.6),(51 958726.3),(52 1009268.75),(53 1065364.1),(54 1125853.1),(55 1175695.8),(56 1217802.4),(57 1242646.5),(58 1254568.3),(59 1255240.4),(60 1236075.9),(61 1195548.4),(62 1153005.3),(63 1117525),(64 1079947.9),(65 1047792.06),(66 1022660.4),(67 999846.5),(68 985139.06),(69 985953.5),(70 992051),(71 1013080.94),(72 1048444.6),(73 1091811.4),(74 1142452.9),(75 1179255.5),(76 1219902.3),(77 1254019.4),(78 1268893.3),(79 1264856.1),
(1 31716.73),(2 107105.89),(3 200133.89),(4 327221.5),(5 473262.03),(6 637371.1),(7 802428.7),(8 954674.1),(9 1072330.5),(10 1181940.5),(11 1269823.4),(12 1330295.5),(13 1355120.8),(14 1357238),(15 1345415.6),(16 1310899.3),(17 1255297.6),(18 1185583.6),(19 1112827.4),(20 1039503.56),(21 977860.25),(22 918781.5),(23 872440.56),(24 832529.75),(25 811908),(26 809349.9),(27 814886.1),(28 843575.3),(29 886813),(30 941599.2),(31 1011155.75),(32 1079284.5),(33 1133886.3),(34 1187819.9),(35 1229764.1),(36 1261550),(37 1272121),(38 1262763.4),(39 1242254.8),(40 1202200.4),(41 1150039.5),(42 1089086.3),(43 1025198.1),(44 960483.56),(45 911776.2),(46 867824.8),(47 832781.3),(48 808991.4),(49 800900.6),(50 807304.25),(51 823865.25),(52 842746.94),(53 871462.56),(54 910808.56),(55 953704),(56 995850.1),(57 1028636.44),(58 1067028.3),(59 1102119.4),(60 1132030.5),(61 1146978),(62 1153834.5),(63 1164092.9),(64 1158699),(65 1148763.5),(66 1130904.8),(67 1097437.3),(68 1061441),(69 1029684),(70 997195.44),(71 973833.94),(72 953379.2),(73 940004.8),(74 935724),(75 934679.4),(76 937131.4),(77 943142.75),(78 952320.7),(79 958941.1),
(1 26746.652),(2 90672.01),(3 166380.06),(4 271735.75),(5 389890.84),(6 517469.16),(7 640667),(8 745819.44),(9 821348.06),(10 892222.75),(11 938146.06),(12 961616.4),(13 967409.9),(14 960789.75),(15 950782.5),(16 936338.1),(17 918045.7),(18 895481.5),(19 869301.1),(20 841928.56),(21 826033.9),(22 805399.1),(23 787970.5),(24 774935.3),(25 767738.3),(26 768311.6),(27 771944.6),(28 781472.2),(29 798342.9),(30 819761.75),(31 841441.75),(32 856254.06),(33 861388.06),(34 862689.06),(35 854120.06),(36 842700.8),(37 828777.5),(38 819030.06),(39 809634.3),(40 802626.1),(41 804030.4),(42 806780.25),(43 813020.25),(44 817641.75),(45 825215.4),(46 834330.4),(47 842444.06),(48 850856.8),(49 856742.3),(50 866958.9),(51 879831.8),(52 891040.56),(53 904378.75),(54 915639.75),(55 925215.1),(56 926721.06),(57 930861.06),(58 927175.1),(59 919698.3),(60 909029.3),(61 891078.75),(62 870470.25),(63 851815.2),(64 833986.7),(65 821023.44),(66 814325),(67 812149.94),(68 813339.1),(69 812452),(70 819113.1),(71 822989.7),(72 824026.5),(73 822929.9),(74 812936.8),(75 801091),(76 779443.4),(77 754230.9),(78 725027.44),(79 699379.06),
(1 29459.518),(2 101190.95),(3 183368.19),(4 296078.38),(5 415075.66),(6 533075.9),(7 632976.6),(8 707941.56),(9 751821.3),(10 788524.2),(11 811465.06),(12 824835.6),(13 839912.2),(14 859387.44),(15 881094.5),(16 907680.75),(17 928072),(18 934924.3),(19 928231.25),(20 913754.3),(21 901420.7),(22 874341.06),(23 841552.9),(24 811311.44),(25 789188.7),(26 779374.94),(27 778776.56),(28 784613.3),(29 801341.7),(30 818017.25),(31 822584.2),(32 812713.3),(33 789022.75),(34 754011.2),(35 715315.7),(36 677163.2),(37 646457.5),(38 631009.44),(39 634777.3),(40 649125.94),(41 676816.9),(42 714721.25),(43 754901.8),(44 785417.5),(45 802972.7),(46 807988.75),(47 799504.56),(48 774663.75),(49 742369.6),(50 713930.5),(51 689595.44),(52 669010.75),(53 656556.1),(54 653755),(55 661177.3),(56 667259.6),(57 674652.2),(58 680412.3),(59 684266.56),(60 685098.9),(61 687709.5),(62 694010.75),(63 696248.4),(64 700179.1),(65 702080.56),(66 701876.06),(67 698439),(68 697639.5),(69 697203.8),(70 697460.5),(71 698586.2),(72 698991.6),(73 698783.25),(74 695430.8),(75 691482),(76 679319.9),(77 664133.9),(78 645818.1),(79 628928.2),
(1 29501.344),(2 100699.9),(3 184960.36),(4 297640.34),(5 420535.44),(6 550485.25),(7 670407),(8 768681.25),(9 830039.6),(10 878954.5),(11 902404.9),(12 906008.4),(13 888568.2),(14 853992.06),(15 825104.9),(16 785566.7),(17 750312.4),(18 717938.44),(19 693199.6),(20 675596.44),(21 669165.25),(22 668432.3),(23 673656.1),(24 689627.56),(25 707250.44),(26 721783.9),(27 730472.4),(28 729365.25),(29 720833.4),(30 703066.1),(31 675751.1),(32 646399.6),(33 616989.75),(34 590532.56),(35 572874.1),(36 568282.5),(37 573539.5),(38 588271.94),(39 604843.6),(40 625811.06),(41 651022.9),(42 669684.7),(43 684871.2),(44 690071.6),(45 691339.56),(46 686816.06),(47 680659.3),(48 673289.3),(49 668826.25),(50 666294.1),(51 673073.44),(52 676013.1),(53 680159.9),(54 689679.44),(55 708473.94),(56 729427.1),(57 740645.1),(58 754943.56),(59 767314.1),(60 771340.2),(61 767278.75),(62 760057.7),(63 747487.56),(64 741584.6),(65 738074.4),(66 731886.7),(67 727998.25),(68 730770.75),(69 738206.56),(70 746127.44),(71 746348.8),(72 742354.1),(73 733499.6),(74 717128.56),(75 697567.25),(76 671764.6),(77 644399.4),(78 611538.3),(79 583566.56),
