1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 157629.83),(2 404759.75),(3 650030.94),(4 829897.2),(5 944940.2),(6 1009273.7),(7 1099954),(8 1128574.9),(9 1129578.9),(10 1153468.6),(11 1269724.4),(12 1436653.9),(13 1608212),(14 1744093.6),(15 1843834),(16 1909258.4),(17 1951378.9),(18 2037779),(19 2108723.3),(20 2121866.3),(21 2153803.8),(22 2211981.8),(23 2320465.3),(24 2428604.5),(25 2566063),(26 2674331.8),(27 2729830),(28 2612097),(29 2475431.8),(30 2344789.5),(31 2246532.3),(32 2153463.3),(33 2149177.8),(34 2227343),(35 2360973.3),(36 2483317),(37 2550141.8),(38 2509500),(39 2390493.3),(40 2241515.8),(41 2086307.1),(42 1961811.4),(43 1893495.4),(44 1925851.5),(45 2023523.9),(46 2146106.3),(47 2281394.3),(48 2340162.8),(49 2356317.8),(50 2299301.8),(51 2195588.8),(52 2191957),(53 2308920.8),(54 2388861.3),(55 2489286.8),(56 2620827.3),(57 2736773.5),(58 2787375.3),(59 2755212),(60 2672973.3),(61 2598045.3),(62 2486052.8),(63 2403039),(64 2358030),(65 2398460.8),(66 2450396.8),(67 2536170.3),(68 2595721.8),(69 2662389.8),(70 2610911.8),(71 2526287.8),(72 2377072),(73 2251733.8),(74 2098393.8),(75 1990928.4),(76 1964678.6),(77 2023689.1),(78 2215909.8),(79 2360556.8),
(1 151913.77),(2 428072.88),(3 719869.1),(4 996954.2),(5 1238651.5),(6 1405850.1),(7 1504587),(8 1555470.3),(9 1581989.9),(10 1634947.1),(11 1768276.5),(12 1930285.3),(13 2097516.8),(14 2257619.8),(15 2395848),(16 2511673),(17 2566957.3),(18 2592583.8),(19 2587489.8),(20 2623741.5),(21 2724592),(22 2857345.5),(23 3005155.3),(24 3169101.3),(25 3317220.5),(26 3436353.5),(27 3511982.5),(28 3551295.3),(29 3551740.5),(30 3544544),(31 3528381.3),(32 3542588.3),(33 3539433),(34 3557044.5),(35 3577400.3),(36 3593428.8),(37 3570056.3),(38 3529392.3),(39 3456346.5),(40 3376952.3),(41 3313545.8),(42 3289416.3),(43 3261865),(44 3286766),(45 3336597.3),(46 3403887.8),(47 3441500.5),(48 3474204.5),(49 3467009.5),(50 3454067.5),(51 3430114.8),(52 3421968),(53 3426050.8),(54 3473123.5),(55 3546352.8),(56 3612097.8),(57 3691475.3),(58 3754122.8),(59 3804855),(60 3797598),(61 3776331.8),(62 3766825.8),(63 3754772.3),(64 3793429.5),(65 3845515.8),(66 3935295.3),(67 4037959),(68 4126065),(69 4165618.8),(70 4227072),(71 4258891),(72 4259248),(73 4283041.5),(74 4333084),(75 4367695.5),(76 4415678),(77 4491945.5),(78 4557458),(79 4585873.5),
(1 153823.2),(2 423298.84),(3 703397.44),(4 948448.7),(5 1154328.9),(6 1302583.5),(7 1408016.6),(8 1481289.6),(9 1562838.4),(10 1680433.4),(11 1890426.9),(12 2126605.3),(13 2362463),(14 2564731.3),(15 2718840.3),(16 2842844),(17 2924539.3),(18 2978787.3),(19 3000616.8),(20 3030262.8),(21 3086101.3),(22 3211301.8),(23 3333110),(24 3459655),(25 3549941.8),(26 3581346.8),(27 3598092),(28 3614319.8),(29 3628684.8),(30 3626080),(31 3575963.3),(32 3568622.8),(33 3593808),(34 3617921.8),(35 3656649.3),(36 3677050.8),(37 3648805),(38 3578053.8),(39 3469357.8),(40 3339248),(41 3225285),(42 3180031),(43 3176407.3),(44 3219518.8),(45 3285960),(46 3338004.3),(47 3378103.8),(48 3364382),(49 3335169.3),(50 3272414.8),(51 3216946.8),(52 3206013),(53 3203812),(54 3221838.8),(55 3269211.3),(56 3316739.3),(57 3345464),(58 3339553.3),(59 3320506),(60 3294676),(61 3242977.3),(62 3225164.3),(63 3217030.8),(64 3237554),(65 3279499.8),(66 3327134.8),(67 3385567.3),(68 3416753.3),(69 3446812.3),(70 3501032.8),(71 3540354.8),(72 3583094.8),(73 3651282.8),(74 3705457),(75 3738272.8),(76 3745521.3),(77 3766860),(78 3753071.3),(79 3742692),
(1 152231.6),(2 422782.63),(3 706938.06),(4 957848.56),(5 1151375.9),(6 1296327.8),(7 1374231.4),(8 1417003.6),(9 1471836.1),(10 1575113.6),(11 1764640.4),(12 1974683.9),(13 2180649.8),(14 2356774),(15 2492440.8),(16 2592897),(17 2624687.3),(18 2630958),(19 2602876),(20 2623514),(21 2684399.3),(22 2769499),(23 2880680.8),(24 2980066.3),(25 3063248.3),(26 3114373.8),(27 3124891.5),(28 3090451.8),(29 3031025.3),(30 2974019.3),(31 2927487),(32 2883863.8),(33 2850144.8),(34 2829672.3),(35 2815899),(36 2795625),(37 2740698.5),(38 2675394.3),(39 2620351.3),(40 2552289.3),(41 2470119),(42 2435052.3),(43 2430895),(44 2474887.8),(45 2529769),(46 2603979.8),(47 2688948.3),(48 2754931.8),(49 2797703.8),(50 2826442.3),(51 2842439.3),(52 2859909),(53 2919158.5),(54 3029845),(55 3158654),(56 3315441.5),(57 3454083),(58 3555452.3),(59 3585783),(60 3578631.8),(61 3560894),(62 3538503.8),(63 3564575.3),(64 3613011.3),(65 3681989.8),(66 3760239),(67 3846393.5),(68 3913414),(69 4008068.5),(70 4068538.3),(71 4047777.5),(72 3980693),(73 3983028.3),(74 3996882.5),(75 3999955.8),(76 4019326),(77 4048386),(78 4045936.8),(79 4028000),
(1 147570.94),(2 413670.75),(3 700897.44),(4 969457.8),(5 1179884.5),(6 1333352.4),(7 1408629.8),(8 1442571.6),(9 1467713.1),(10 1538333.8),(11 1670600.5),(12 1849287.9),(13 2038016.8),(14 2241287),(15 2387742),(16 2471949.5),(17 2499448.3),(18 2474607),(19 2448727),(20 2437505.3),(21 2455094.5),(22 2554888.3),(23 2720248.8),(24 2896268.3),(25 3026321.3),(26 3139577.5),(27 3221101.5),(28 3261165.8),(29 3260887),(30 3260649),(31 3258334.8),(32 3272502.5),(33 3319372.5),(34 3380039),(35 3415030.5),(36 3402079.3),(37 3373719.3),(38 3302397),(39 3187197.5),(40 3057009.3),(41 2930617),(42 2852485.5),(43 2815224),(44 2807046),(45 2796026),(46 2810784.8),(47 2828264),(48 2834339),(49 2835164.8),(50 2853631.8),(51 2852392.3),(52 2884989),(53 2929664),(54 2974878.5),(55 3057514.3),(56 3143973),(57 3207274.3),(58 3250315),(59 3286971.8),(60 3274571.8),(61 3281889.5),(62 3335681),(63 3411583.3),(64 3495123.8),(65 3599355.8),(66 3679891.8),(67 3759371.5),(68 3830790),(69 3937056.8),(70 4034400.3),(71 4066366),(72 4039001),(73 3998838),(74 3960177.3),(75 3982917.8),(76 3986196.3),(77 3990922.5),(78 4011414.5),(79 4018580.8),
(1 151866.48),(2 414721.03),(3 685422.5),(4 928618.56),(5 1135206.6),(6 1274518.5),(7 1362130.4),(8 1408328.9),(9 1457030.9),(10 1523047.4),(11 1634040.9),(12 1782636.9),(13 1924851.4),(14 2048371.8),(15 2132321),(16 2168801.3),(17 2115295),(18 2053931),(19 1982596.1),(20 1959399.3),(21 1980944.3),(22 2062322.6),(23 2154977.3),(24 2251974),(25 2322202.3),(26 2375667.5),(27 2412563),(28 2418880.3),(29 2370610),(30 2339057.3),(31 2322923.5),(32 2331342.3),(33 2372366.3),(34 2414515.3),(35 2461697.3),(36 2493098),(37 2495151.5),(38 2447335.8),(39 2360854.3),(40 2283754),(41 2245527.5),(42 2264128.3),(43 2325231.8),(44 2393308),(45 2484959.8),(46 2581597.8),(47 2663292.3),(48 2720675.8),(49 2732082.8),(50 2739319),(51 2755809.3),(52 2791669.8),(53 2860394.8),(54 2958219.8),(55 3037966.5),(56 3115862.5),(57 3198723.5),(58 3283918.3),(59 3336308.8),(60 3426371),(61 3471369),(62 3552173.8),(63 3641957.3),(64 3718100.3),(65 3808195.5),(66 3877702.5),(67 3948713),(68 3981468.5),(69 4017287.5),(70 4029682.3),(71 4062323),(72 4064550),(73 4070571.3),(74 4075340.8),(75 4082002.3),(76 4096088),(77 4088034.8),(78 4091312.5),(79 4073362.8),
(1 158643.4),(2 431241.1),(3 726407),(4 983664.4),(5 1182841.1),(6 1330220.4),(7 1433179.6),(8 1473710.6),(9 1518648.8),(10 1599232.1),(11 1753265.4),(12 1945249.4),(13 2117723.8),(14 2269026.3),(15 2367315.3),(16 2412037.3),(17 2396739.5),(18 2374521.8),(19 2350421),(20 2354906.3),(21 2402940),(22 2500644.8),(23 2616377.3),(24 2747380.5),(25 2846813.8),(26 2900447),(27 2951611.5),(28 2959406.8),(29 2941573),(30 2918085.5),(31 2921472.8),(32 2968558.3),(33 3030181.8),(34 3064514.3),(35 3082677.3),(36 3070931.3),(37 3030276.8),(38 2978979.8),(39 2893532.3),(40 2805335.3),(41 2711978.8),(42 2642683.5),(43 2637979.8),(44 2675761),(45 2705242.8),(46 2752243.3),(47 2786685.3),(48 2801035.8),(49 2808321.3),(50 2797922.8),(51 2776281.5),(52 2762507.3),(53 2768343.3),(54 2793695),(55 2832882.8),(56 2861156.3),(57 2866307.8),(58 2876148.3),(59 2863680),(60 2870345.3),(61 2845832),(62 2830400),(63 2842232),(64 2871056.5),(65 2909513),(66 2938848),(67 2947229.8),(68 2945331),(69 2939938.8),(70 2908973.8),(71 2872954.3),(72 2828932),(73 2801821.8),(74 2799641.8),(75 2800447.5),(76 2800849.5),(77 2817201.8),(78 2853132.8),(79 2903755.8),
(1 159549.97),(2 434795.38),(3 715625.7),(4 955232.9),(5 1148349.3),(6 1298804.1),(7 1394958.5),(8 1448634.1),(9 1513257.1),(10 1619867.4),(11 1776055.8),(12 1953596.5),(13 2107693),(14 2247012.8),(15 2333267.5),(16 2373789.8),(17 2397467.8),(18 2401989.8),(19 2415577.8),(20 2431836.8),(21 2498880.3),(22 2598595.5),(23 2705715.5),(24 2818469.5),(25 2889936),(26 2915534.5),(27 2933334.8),(28 2921056),(29 2910999.3),(30 2906125.8),(31 2923929.3),(32 2944231.3),(33 2956970),(34 2945358),(35 2923011),(36 2885495.8),(37 2840530.8),(38 2778908.5),(39 2663949.5),(40 2525319.8),(41 2400470.8),(42 2323889),(43 2294332.5),(44 2283145.3),(45 2256992.5),(46 2239604.8),(47 2231885.5),(48 2222919.3),(49 2210494.5),(50 2180627),(51 2184569.3),(52 2207998.8),(53 2260545),(54 2326133.8),(55 2383297.8),(56 2440192.5),(57 2486103.3),(58 2519087.5),(59 2516548.5),(60 2528122.5),(61 2543251),(62 2581161.3),(63 2627506.5),(64 2660688.5),(65 2697072),(66 2739812.8),(67 2788088.3),(68 2820741.5),(69 2839299),(70 2871118),(71 2918133.3),(72 2955398.5),(73 3013871.5),(74 3072377.8),(75 3095865.3),(76 3117726.8),(77 3158632),(78 3191544.3),(79 3218773),
(1 151904.53),(2 414675.22),(3 693579.25),(4 924992.94),(5 1088754.5),(6 1196426.4),(7 1243913.3),(8 1260922.6),(9 1312576.5),(10 1401831.8),(11 1517648.3),(12 1670533.6),(13 1802271.4),(14 1925061.4),(15 2001990.3),(16 2025535.5),(17 2020207),(18 1980407.3),(19 1944023.8),(20 1920928.5),(21 1933041.8),(22 1979831.8),(23 2070622.5),(24 2156508.5),(25 2218578.5),(26 2242543),(27 2240007.5),(28 2216969),(29 2184629.8),(30 2143683),(31 2152066.3),(32 2173347.5),(33 2209096.3),(34 2248687.5),(35 2295092.3),(36 2317394.8),(37 2319431.5),(38 2296562),(39 2255186.3),(40 2203215.8),(41 2147253.5),(42 2102286),(43 2097403.5),(44 2104124.3),(45 2126638.3),(46 2151594.3),(47 2180468.3),(48 2195690.3),(49 2223127.5),(50 2227746.8),(51 2217635.8),(52 2215019.3),(53 2262206.5),(54 2313465.3),(55 2368333),(56 2408346.3),(57 2453336.3),(58 2465043),(59 2447681),(60 2432858.8),(61 2409082.5),(62 2394224.5),(63 2423738.3),(64 2470568.3),(65 2507893.3),(66 2549504.3),(67 2577541.3),(68 2599176.8),(69 2641226.3),(70 2657088),(71 2691964),(72 2730650.3),(73 2766651.3),(74 2820783.8),(75 2894580.8),(76 2955774),(77 3014018.5),(78 3058121.8),(79 3067927.3),
(1 146692.4),(2 390792.8),(3 641799.75),(4 856570.4),(5 1005279.25),(6 1111220.5),(7 1162761.8),(8 1195626.1),(9 1226949),(10 1269961.5),(11 1349112),(12 1446613.5),(13 1540444.3),(14 1629051.1),(15 1689818.8),(16 1705859.3),(17 1688097.4),(18 1645059.6),(19 1616072.8),(20 1603399),(21 1605545),(22 1638151.8),(23 1710256.3),(24 1784284.3),(25 1835476.4),(26 1857178.9),(27 1850646.8),(28 1834697.5),(29 1813968.1),(30 1803485.8),(31 1816303.1),(32 1851604.5),(33 1893278.5),(34 1941950.5),(35 2002369.8),(36 2041548.4),(37 2068093.9),(38 2080976.3),(39 2079787),(40 2039188.9),(41 1999598.8),(42 2002503),(43 2035511.5),(44 2093874.3),(45 2151232.3),(46 2202461.8),(47 2261225.5),(48 2299238.5),(49 2343110),(50 2361465),(51 2379933.5),(52 2390134),(53 2392743),(54 2418057.8),(55 2439725.3),(56 2444119),(57 2457948.5),(58 2467929),(59 2458640.5),(60 2449803.8),(61 2432182.3),(62 2403686),(63 2413688.5),(64 2441969),(65 2481728.8),(66 2515374),(67 2544909.8),(68 2570159.8),(69 2593013),(70 2589158.8),(71 2562436.8),(72 2499714),(73 2468936),(74 2470219),(75 2477625.8),(76 2490003),(77 2511131),(78 2528297.5),(79 2530365),
(1 142364.66),(2 378309.66),(3 618743.4),(4 816491),(5 953387.8),(6 1052121.3),(7 1119464.6),(8 1165118),(9 1204706.9),(10 1270994),(11 1386422.9),(12 1521470),(13 1639603.6),(14 1749564.4),(15 1810682),(16 1845576.3),(17 1851052.5),(18 1825968.6),(19 1790596.5),(20 1753723.5),(21 1776569.6),(22 1842280),(23 1922434.6),(24 1978077.4),(25 2024452.8),(26 2051287.1),(27 2066289.1),(28 2056489.1),(29 2048789),(30 2024248),(31 2014486.9),(32 2036299.9),(33 2077552.9),(34 2131241.5),(35 2180604.3),(36 2193917.8),(37 2215104.8),(38 2212255.3),(39 2166800.3),(40 2094704),(41 2035792.6),(42 2031741.9),(43 2056511.4),(44 2111768.3),(45 2174466.3),(46 2239143.3),(47 2287896.5),(48 2313171.5),(49 2335833.5),(50 2371523.3),(51 2378596),(52 2380459),(53 2392820.8),(54 2415860.3),(55 2429807.8),(56 2457758.5),(57 2498017.5),(58 2550063.5),(59 2583548),(60 2594157.8),(61 2595461.5),(62 2602736.3),(63 2601128.3),(64 2603513.5),(65 2619331),(66 2658239.5),(67 2682024.8),(68 2691506.5),(69 2697187),(70 2701942),(71 2706747.3),(72 2691656.8),(73 2658788.3),(74 2643435.8),(75 2635302.5),(76 2669062.5),(77 2707204.5),(78 2742787.5),(79 2746664),
(1 140832.92),(2 383863.1),(3 627646.9),(4 822564.06),(5 942297.25),(6 1029527),(7 1070290.5),(8 1091466),(9 1116160.6),(10 1156806.9),(11 1216227.1),(12 1301522.6),(13 1382455.4),(14 1460868.4),(15 1509517),(16 1527198.9),(17 1520110.3),(18 1485126.8),(19 1444155.6),(20 1429268.5),(21 1441594.3),(22 1494844.6),(23 1567356.5),(24 1651892.6),(25 1730813.8),(26 1796749),(27 1844866.9),(28 1869745),(29 1853048.5),(30 1836784.6),(31 1832405.8),(32 1843505.5),(33 1875952.3),(34 1917752),(35 1939929.4),(36 1950353.6),(37 1952229.8),(38 1948567.8),(39 1938037.5),(40 1927795.6),(41 1905839.6),(42 1907562.5),(43 1934480.9),(44 1947181.5),(45 1971723),(46 2006251.4),(47 2017277.3),(48 2015296.5),(49 1990181.3),(50 1959123.3),(51 1919302),(52 1874075.3),(53 1853428.6),(54 1864233.9),(55 1875965.3),(56 1897872.1),(57 1911829.6),(58 1926471.8),(59 1933470.6),(60 1921615.5),(61 1912055.4),(62 1886685),(63 1899940.1),(64 1909215.6),(65 1927889.4),(66 1960567.4),(67 1988840.3),(68 2012669),(69 2025822.6),(70 2032598.9),(71 2014314.8),(72 1986688.6),(73 1972349.8),(74 1963817.6),(75 1963913.1),(76 1978198.9),(77 1990628.8),(78 2001337.6),(79 2005217.1),
(1 138113.9),(2 371668.06),(3 596879.2),(4 787912.3),(5 938799.7),(6 1041913.3),(7 1126555),(8 1187020.4),(9 1235649.9),(10 1300675.6),(11 1420798.1),(12 1541145.6),(13 1653833.8),(14 1762829.4),(15 1849777.1),(16 1874568.9),(17 1860678.9),(18 1830830.6),(19 1827352.6),(20 1822243.3),(21 1842955),(22 1908120.5),(23 1970292),(24 2043560.3),(25 2116443.3),(26 2173802.3),(27 2225315),(28 2277793),(29 2321654),(30 2335805),(31 2329213.5),(32 2334495.5),(33 2336665.8),(34 2365211),(35 2389261),(36 2401232.8),(37 2396521.5),(38 2357537.3),(39 2302069),(40 2253395.8),(41 2195024.3),(42 2162497.3),(43 2150837.3),(44 2153548),(45 2145147),(46 2126938.3),(47 2101344.8),(48 2063841.4),(49 2029561.1),(50 1992956.9),(51 1954381.8),(52 1911280.3),(53 1873524),(54 1862013.1),(55 1862108.9),(56 1853441.5),(57 1847510),(58 1855461.5),(59 1867107.4),(60 1864522.5),(61 1849996.4),(62 1828481.5),(63 1827759.6),(64 1839490.8),(65 1843950.5),(66 1855338.1),(67 1871949.8),(68 1875407.5),(69 1892642.5),(70 1919576.6),(71 1950801.8),(72 1952055.1),(73 1962692),(74 1968631.5),(75 1979988.6),(76 1990644.3),(77 1992940.3),(78 1997202.6),(79 2003585.1),
(1 135252.25),(2 346332.2),(3 543009.75),(4 705844.5),(5 828422.9),(6 911863.56),(7 974285.75),(8 1019048.56),(9 1061584.4),(10 1120737.3),(11 1219131.9),(12 1329849.6),(13 1416128.5),(14 1506376.8),(15 1574845.8),(16 1606713.6),(17 1611879.3),(18 1591644.5),(19 1575102.1),(20 1564861.4),(21 1575436.6),(22 1627131.9),(23 1698067.4),(24 1774675.4),(25 1847195.5),(26 1893367.9),(27 1908021.3),(28 1897321.5),(29 1892814.5),(30 1894415.6),(31 1912925.8),(32 1934539.5),(33 1962682.8),(34 2008829.8),(35 2078757),(36 2100211),(37 2112398.3),(38 2087044.6),(39 2053208.5),(40 2015091),(41 1972725.6),(42 1970161.1),(43 1998948.5),(44 2035108.3),(45 2068838.5),(46 2089640.9),(47 2089576),(48 2079986.4),(49 2070373.3),(50 2068584),(51 2052967.5),(52 2039007.6),(53 2041233.9),(54 2057544.5),(55 2068524.9),(56 2066651),(57 2069952.4),(58 2061938.6),(59 2058829.6),(60 2060745.3),(61 2054899.5),(62 2037421.4),(63 2039820.5),(64 2045845.6),(65 2049678.5),(66 2039034),(67 2038311.5),(68 2044067.9),(69 2042971.8),(70 2049243.1),(71 2054443.5),(72 2039722),(73 2025493.3),(74 2018296.5),(75 2028471.9),(76 2063028.9),(77 2068826.6),(78 2081321.6),(79 2096467.1),
(1 131624.42),(2 346000.34),(3 546050.3),(4 698719.6),(5 820709.9),(6 909469.25),(7 978410.3),(8 1035616.44),(9 1077343.4),(10 1117238.8),(11 1198904.9),(12 1301014.6),(13 1382856.5),(14 1449674.1),(15 1495989.4),(16 1501840.5),(17 1491329.1),(18 1466726.3),(19 1425212.8),(20 1379611.9),(21 1381317.4),(22 1423087.9),(23 1480762.3),(24 1543229.8),(25 1607208.4),(26 1641242.3),(27 1672596.8),(28 1692718.8),(29 1710921.4),(30 1712199.1),(31 1711531),(32 1739224.1),(33 1773477.8),(34 1792423.1),(35 1794974),(36 1768070.3),(37 1748262.3),(38 1713293.1),(39 1677606.8),(40 1627299.8),(41 1596635.9),(42 1592190),(43 1612147.3),(44 1655330.1),(45 1694186.1),(46 1712735.6),(47 1726760.5),(48 1745092.3),(49 1754674.1),(50 1743718.6),(51 1725252.8),(52 1732031.9),(53 1761590.9),(54 1802872),(55 1816952.5),(56 1833474.9),(57 1852463.1),(58 1868352.4),(59 1858075.8),(60 1838720.8),(61 1816917.9),(62 1784097.1),(63 1783357.5),(64 1807888.8),(65 1839679.3),(66 1841632),(67 1849777.4),(68 1865450.1),(69 1874006),(70 1877246.9),(71 1868463.1),(72 1862283.4),(73 1864726),(74 1845674.3),(75 1838075.8),(76 1844167.1),(77 1837684.6),(78 1828952),(79 1812327.1),
(1 130988.9),(2 341601.22),(3 529605.3),(4 668616.8),(5 777295.56),(6 846587.3),(7 893201.9),(8 938360.56),(9 974376.9),(10 1020358.75),(11 1088128.8),(12 1176350.5),(13 1260975.8),(14 1331101.1),(15 1381939.4),(16 1409114.1),(17 1414441.6),(18 1400474.8),(19 1386130.3),(20 1379561.4),(21 1402661.8),(22 1442459),(23 1496336.8),(24 1544746.3),(25 1582445),(26 1618870.8),(27 1663131.5),(28 1692474.3),(29 1706643),(30 1710726.3),(31 1713254.4),(32 1731320.4),(33 1754501.8),(34 1775130.6),(35 1786559.1),(36 1787255.9),(37 1772672.4),(38 1755370.3),(39 1708973.4),(40 1660547.5),(41 1634635),(42 1619731.3),(43 1645014.8),(44 1673439.9),(45 1693582.6),(46 1710849.1),(47 1706774.8),(48 1720843.8),(49 1729427.9),(50 1727925.1),(51 1728588.1),(52 1719238.9),(53 1725845.8),(54 1738648.4),(55 1739142.9),(56 1754084.5),(57 1773354.9),(58 1789344.1),(59 1791021.4),(60 1800774.8),(61 1808327.1),(62 1820699.5),(63 1858186.5),(64 1911004.1),(65 1947833.4),(66 1982461.1),(67 2018352),(68 2059656.5),(69 2068824.9),(70 2069392.5),(71 2055706.9),(72 2060211.3),(73 2061962.6),(74 2065287.5),(75 2077854.3),(76 2073733.4),(77 2074050.9),(78 2082812.8),(79 2070118.8),
(1 129114.19),(2 328326.38),(3 507108.9),(4 641775.1),(5 728596.9),(6 778609.7),(7 799959.7),(8 816612.56),(9 842325.5),(10 881588.56),(11 963013.1),(12 1054983.8),(13 1133956.8),(14 1200239.4),(15 1234707.8),(16 1249720.6),(17 1251214),(18 1241973),(19 1246943),(20 1266979),(21 1301773.9),(22 1330840),(23 1346602.4),(24 1360134.1),(25 1370326.3),(26 1384709.9),(27 1405516.3),(28 1412983.4),(29 1408126.3),(30 1421324.1),(31 1444210),(32 1461556.6),(33 1483700),(34 1503721.4),(35 1523270.9),(36 1548930.3),(37 1557750.3),(38 1560678.1),(39 1544260.6),(40 1508397.1),(41 1461564.1),(42 1440162.1),(43 1459410.8),(44 1489173.8),(45 1516178.9),(46 1544324.8),(47 1568448.6),(48 1589894.3),(49 1601696.8),(50 1609189.4),(51 1607383.8),(52 1618721.5),(53 1653950.3),(54 1697267.8),(55 1742678.1),(56 1772585.9),(57 1805458.6),(58 1797970.3),(59 1776372),(60 1749724.8),(61 1732492.6),(62 1708392.4),(63 1705936.6),(64 1716729.1),(65 1727665.1),(66 1744115),(67 1765410.9),(68 1759911.6),(69 1737676.6),(70 1710181.4),(71 1692522.9),(72 1690140.4),(73 1686721.4),(74 1714579),(75 1746474.3),(76 1791830.5),(77 1821041.8),(78 1840844.6),(79 1849304.4),
