1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 64315.324),(2 238134.6),(3 492112.53),(4 792018.7),(5 1103622),(6 1403527.6),(7 1661716.5),(8 1865968.9),(9 2024177.3),(10 2153403.3),(11 2264211.5),(12 2355847),(13 2422686.5),(14 2439756.8),(15 2408305.3),(16 2339733.8),(17 2242286),(18 2159022.5),(19 2097243.3),(20 2081928),(21 2140775),(22 2258646.3),(23 2421060.5),(24 2598744.3),(25 2772508.3),(26 2939326),(27 3111867.8),(28 3284111.3),(29 3456343.8),(30 3607213.3),(31 3711689),(32 3740361),(33 3682051.5),(34 3564845.5),(35 3402857),(36 3245717.5),(37 3120707.5),(38 3048977.5),(39 3024791.3),(40 3056004.8),(41 3140578),(42 3234956.8),(43 3336905),(44 3421827.8),(45 3493149.3),(46 3551211.3),(47 3597652.5),(48 3621198.5),(49 3638954),(50 3631000.3),(51 3597920.8),(52 3527855.3),(53 3442363.5),(54 3359483.3),(55 3294935),(56 3221246.5),(57 3176824.8),(58 3181002),(59 3227296.3),(60 3321749.5),(61 3454582.3),(62 3610749.3),(63 3758456.3),(64 3899671.8),(65 4040265.5),(66 4158740.3),(67 4271508),(68 4371316.5),(69 4453933),(70 4525851),(71 4603341),(72 4679036),(73 4762829.5),(74 4856094.5),(75 4946731),(76 5027027.5),(77 5066709),(78 5073593),(79 5064849),
(1 66265.61),(2 249498.5),(3 526172.5),(4 856367.75),(5 1208848.1),(6 1561062.6),(7 1884391),(8 2155271.8),(9 2381654.3),(10 2580752.8),(11 2736655),(12 2831772),(13 2847784.8),(14 2775494),(15 2638243.5),(16 2477655),(17 2332690.8),(18 2239731.3),(19 2206172.8),(20 2222447.5),(21 2279455.5),(22 2343220.3),(23 2398536),(24 2453814.5),(25 2520660.3),(26 2605118),(27 2700169),(28 2779842.8),(29 2820020),(30 2812470),(31 2761589.3),(32 2655110.3),(33 2514015),(34 2357569),(35 2199594.3),(36 2068991.4),(37 1976550.1),(38 1941346.1),(39 1958530.9),(40 2038331.6),(41 2182443.8),(42 2373505.3),(43 2581468.8),(44 2769021.3),(45 2912998),(46 3002454.3),(47 3040013),(48 3023052.8),(49 2971516),(50 2878624),(51 2767527),(52 2651197),(53 2550185.3),(54 2488321.8),(55 2460034.8),(56 2473985.8),(57 2553536),(58 2698242),(59 2878075.8),(60 3063660.8),(61 3219709.3),(62 3328839.3),(63 3366022),(64 3352762.8),(65 3319809.3),(66 3287988.3),(67 3272354.8),(68 3266476),(69 3275346.3),(70 3316398.8),(71 3419995.3),(72 3600488.8),(73 3837299),(74 4075100),(75 4241453.5),(76 4328291),(77 4334512),(78 4298899.5),(79 4245470),
(1 57191.72),(2 211468.64),(3 436838),(4 699488.5),(5 971791.2),(6 1228732),(7 1462284.5),(8 1665807.4),(9 1843265),(10 1984525.5),(11 2074431.6),(12 2083169.9),(13 2015367.6),(14 1885755.9),(15 1725477.5),(16 1575854.9),(17 1460356.5),(18 1413378.9),(19 1431922.8),(20 1500086.1),(21 1605258.5),(22 1719195.3),(23 1841741),(24 1967449.3),(25 2086857),(26 2179309.3),(27 2237412.5),(28 2263918.8),(29 2263477.5),(30 2235118.8),(31 2195698.8),(32 2139641),(33 2076854.8),(34 2018025.3),(35 1961954.4),(36 1931367),(37 1933434.9),(38 1988618.4),(39 2090572.8),(40 2229807.5),(41 2391438.5),(42 2546155.5),(43 2677016.3),(44 2766705),(45 2827486.8),(46 2849267),(47 2837396.5),(48 2789509),(49 2714911.3),(50 2615263),(51 2522062),(52 2467389),(53 2474060.3),(54 2539352.8),(55 2627299),(56 2710170),(57 2788458),(58 2850812.3),(59 2889948.5),(60 2892386.5),(61 2851408.8),(62 2779557),(63 2690320),(64 2624658),(65 2612113.5),(66 2642820.8),(67 2701669.8),(68 2770908.8),(69 2852583.8),(70 2942262.5),(71 3038961.3),(72 3100338),(73 3110180.5),(74 3069074.5),(75 2995390.8),(76 2947987.8),(77 2952443.5),(78 3010644.5),(79 3099292.3),
(1 77807.336),(2 289535.4),(3 597669.8),(4 954736.8),(5 1319337.3),(6 1660485.9),(7 1957718.8),(8 2204837.8),(9 2389430),(10 2500135),(11 2521841.8),(12 2445980.8),(13 2295591.8),(14 2102647),(15 1913150.3),(16 1765348.5),(17 1671405.9),(18 1651404),(19 1694975.3),(20 1792125),(21 1938294.8),(22 2110513.8),(23 2287736),(24 2438515),(25 2535173),(26 2573326.8),(27 2583227),(28 2570258.5),(29 2548117),(30 2524768.8),(31 2507496.5),(32 2503383),(33 2526332.8),(34 2582262),(35 2649009.5),(36 2721882),(37 2782322.3),(38 2851361),(39 2900843.8),(40 2916756.8),(41 2875949),(42 2777159),(43 2653072.5),(44 2517067.3),(45 2415936.5),(46 2351953.3),(47 2319794.5),(48 2305543.5),(49 2320699),(50 2347010.3),(51 2390991.8),(52 2452467.5),(53 2520832.3),(54 2589708.8),(55 2636770.5),(56 2630416.5),(57 2589650),(58 2527114),(59 2455309),(60 2400554.5),(61 2371364.3),(62 2377743.8),(63 2410159.8),(64 2459195),(65 2533252.8),(66 2586296.3),(67 2601587.8),(68 2574907.3),(69 2521879.3),(70 2463044.5),(71 2421154.5),(72 2390255.3),(73 2373692),(74 2385995.8),(75 2432895),(76 2515749.3),(77 2607891.5),(78 2683478),(79 2719376.3),
(1 88270.43),(2 333103.2),(3 687305.6),(4 1093606.5),(5 1505041.5),(6 1894244.6),(7 2241080.3),(8 2531458.3),(9 2744300.8),(10 2867441.5),(11 2886043.8),(12 2811041.8),(13 2682176),(14 2515161.5),(15 2354214.5),(16 2217714.8),(17 2110190.8),(18 2033493),(19 1984856),(20 1959445.9),(21 1968180.3),(22 2014616),(23 2096043.9),(24 2191418.8),(25 2276561),(26 2329340.3),(27 2337763.8),(28 2293809),(29 2216571.8),(30 2131754),(31 2074141.6),(32 2047272.6),(33 2048270.5),(34 2071843.3),(35 2107284.3),(36 2146966.8),(37 2181757.8),(38 2211972.3),(39 2223741.8),(40 2222089.8),(41 2197359),(42 2163089),(43 2144650.8),(44 2133295),(45 2151165),(46 2201464),(47 2293780.5),(48 2419631.8),(49 2563326),(50 2680241.3),(51 2760910.3),(52 2789238),(53 2777533.8),(54 2749224.3),(55 2712435),(56 2650027.3),(57 2593690.3),(58 2567249.8),(59 2590326.5),(60 2670525.8),(61 2784491.8),(62 2898174.5),(63 2992798.3),(64 3066195.3),(65 3119735.8),(66 3136194.3),(67 3110006),(68 3073419.8),(69 3073057.3),(70 3146716.5),(71 3284329.5),(72 3441339.3),(73 3603614.8),(74 3752988.8),(75 3885686.5),(76 4010840),(77 4090292.8),(78 4114558),(79 4098878.3),
(1 100261.15),(2 375146.72),(3 773212.06),(4 1233926.6),(5 1701221.5),(6 2134343.5),(7 2503567),(8 2776594.5),(9 2927354.3),(10 2953911),(11 2862763.5),(12 2695646.8),(13 2507005.3),(14 2317508.8),(15 2159265.3),(16 2047641.4),(17 1981288.5),(18 1957470.9),(19 1954965.4),(20 1972657.3),(21 2016644.3),(22 2083227.9),(23 2173023.3),(24 2286476.5),(25 2403068.8),(26 2499337.5),(27 2554565.3),(28 2561046.5),(29 2531933),(30 2485275.8),(31 2429267.8),(32 2381182.8),(33 2364059.5),(34 2390059),(35 2445184.8),(36 2499516.3),(37 2494088),(38 2410419),(39 2275124.3),(40 2138196),(41 2033654.4),(42 1967048),(43 1936310),(44 1927989.1),(45 1964080.3),(46 2038740),(47 2141229),(48 2251350.5),(49 2345783.5),(50 2385239.5),(51 2366545),(52 2298720.5),(53 2227369),(54 2190656.8),(55 2178912.5),(56 2164789.8),(57 2183292.8),(58 2262414.5),(59 2385503),(60 2514440.5),(61 2597178.3),(62 2617505),(63 2593464),(64 2576921.5),(65 2592160.8),(66 2631295.3),(67 2689666.8),(68 2784576.5),(69 2928969),(70 3112081.3),(71 3285933.5),(72 3391210.8),(73 3424762.3),(74 3403807),(75 3368095.5),(76 3340059.3),(77 3314593.3),(78 3300475.5),(79 3325754.5),
(1 100691.59),(2 375809.22),(3 759355.7),(4 1182040.3),(5 1582011.6),(6 1918527.3),(7 2165988.8),(8 2296863.5),(9 2300718),(10 2202487.5),(11 2030537.5),(12 1822166.5),(13 1629919.5),(14 1495059.4),(15 1441332.6),(16 1462151.5),(17 1536603.3),(18 1650472),(19 1774583.3),(20 1895200.9),(21 2009845),(22 2108534),(23 2181441.5),(24 2220735),(25 2230630.5),(26 2226297.3),(27 2215461.8),(28 2176760.8),(29 2114369),(30 2048217.3),(31 2016560),(32 2035610.8),(33 2105272.5),(34 2194521.8),(35 2278002.8),(36 2330235.3),(37 2343407.5),(38 2318071.3),(39 2256782.5),(40 2183496.5),(41 2104184.8),(42 2026610.5),(43 1978459.1),(44 1965049.9),(45 1982648.8),(46 2006515.5),(47 2002441),(48 1959893),(49 1900267.8),(50 1851057.3),(51 1833418.1),(52 1847867.6),(53 1889572.6),(54 1955276.4),(55 2039107.9),(56 2144963.3),(57 2277610.8),(58 2395945),(59 2447454),(60 2414359.3),(61 2310624.5),(62 2203753.5),(63 2147260.5),(64 2152539.3),(65 2179012.8),(66 2195791.8),(67 2213214.3),(68 2254465.5),(69 2317987.3),(70 2384825.8),(71 2426810.8),(72 2441030),(73 2466409.3),(74 2528827.3),(75 2606944),(76 2669765.3),(77 2712117.3),(78 2753551),(79 2789582.5),
(1 118180.08),(2 443500.2),(3 904618.1),(4 1420084.6),(5 1918396.9),(6 2337353.3),(7 2624761.3),(8 2746610.5),(9 2696631.3),(10 2510923.8),(11 2239463.5),(12 1958183.5),(13 1737189.8),(14 1606213.6),(15 1561291.3),(16 1585870.9),(17 1658155.4),(18 1773782),(19 1905881.9),(20 2045600.5),(21 2182776),(22 2279267.5),(23 2313379.5),(24 2296473.8),(25 2241503.5),(26 2162962.8),(27 2078486.8),(28 2005321),(29 1979929.3),(30 2018221.8),(31 2112960.5),(32 2226041.8),(33 2330639.5),(34 2405433.3),(35 2441925.3),(36 2449271.3),(37 2420096.5),(38 2363827.3),(39 2275206.8),(40 2163673.3),(41 2068734),(42 2032610.9),(43 2074700.1),(44 2145321.3),(45 2209427),(46 2254777),(47 2274169.5),(48 2265420.5),(49 2244742.5),(50 2224951.3),(51 2237032.8),(52 2290776),(53 2387624),(54 2526185.8),(55 2646762.3),(56 2659421),(57 2594155.8),(58 2506379.3),(59 2435387.8),(60 2385753.3),(61 2362851),(62 2388423.3),(63 2468748.5),(64 2570879),(65 2637834.5),(66 2634155.8),(67 2585757.5),(68 2535811.8),(69 2500541),(70 2477070.5),(71 2476712.3),(72 2512132.3),(73 2590652),(74 2688089.3),(75 2765088.3),(76 2836727),(77 2902337),(78 2961979.8),(79 2993612.5),
(1 91426.1),(2 340767.13),(3 688845.4),(4 1074344.3),(5 1447235),(6 1769400),(7 1999669.5),(8 2106132),(9 2084928.5),(10 1974551.3),(11 1803450.8),(12 1624411.5),(13 1493046.4),(14 1431051.4),(15 1427999.8),(16 1469729.5),(17 1537178.8),(18 1634701.6),(19 1742926),(20 1841057.5),(21 1916167.5),(22 1949492.3),(23 1944260),(24 1916953),(25 1868741.5),(26 1813051.5),(27 1769761.5),(28 1757142.3),(29 1783627.4),(30 1823871.1),(31 1850341.4),(32 1854083.4),(33 1844831.1),(34 1820556.4),(35 1770303.3),(36 1710972.9),(37 1663149.3),(38 1649311.3),(39 1663167.3),(40 1711964.8),(41 1776039.8),(42 1821822.6),(43 1843350.5),(44 1840768.5),(45 1827910.3),(46 1828673.3),(47 1853876.6),(48 1894132),(49 1947642.8),(50 2005398.1),(51 2077168.4),(52 2140559),(53 2177443.5),(54 2189437.5),(55 2163717.8),(56 2086247.6),(57 2013959.4),(58 1984713),(59 1998711.1),(60 2030990.5),(61 2048671.5),(62 2049942),(63 2036739.9),(64 2017618.4),(65 1987034.1),(66 1960749.3),(67 1962306.8),(68 1996404),(69 2043915),(70 2082343),(71 2108027.5),(72 2126441),(73 2148048),(74 2177644.8),(75 2224960.5),(76 2289374.3),(77 2347495),(78 2378549.8),(79 2385407.5),
(1 93472.84),(2 338154.56),(3 665696.44),(4 1007952),(5 1310995.9),(6 1539963),(7 1669146.4),(8 1696927.8),(9 1639977.5),(10 1524365.6),(11 1382134.9),(12 1267858.4),(13 1216277),(14 1209592.6),(15 1225391.1),(16 1266817.3),(17 1326293.5),(18 1405998.6),(19 1491660.3),(20 1573418.8),(21 1645639.4),(22 1705734),(23 1754804.1),(24 1776950),(25 1748664.5),(26 1677148),(27 1590538.8),(28 1505564.4),(29 1422588.1),(30 1350006.8),(31 1308564.1),(32 1292925.4),(33 1299447.8),(34 1317198.3),(35 1332419.6),(36 1350701.3),(37 1369707.6),(38 1393963.6),(39 1417078.8),(40 1448991.9),(41 1482341),(42 1486685.5),(43 1475817.3),(44 1462666.5),(45 1468531.1),(46 1495307.9),(47 1533544.3),(48 1573310.3),(49 1618102.6),(50 1652827.6),(51 1672989.5),(52 1671921.5),(53 1670725.9),(54 1690103.4),(55 1728804.3),(56 1774708.1),(57 1836698.8),(58 1925017.5),(59 2006771.9),(60 2047029.6),(61 2022954.4),(62 1959237.3),(63 1901110.3),(64 1885430.5),(65 1909625.5),(66 1957802.6),(67 2018550.5),(68 2070375.8),(69 2098117.5),(70 2107760.8),(71 2126458.5),(72 2160199.8),(73 2206450.5),(74 2261680.3),(75 2321820),(76 2364876.5),(77 2347660.3),(78 2295445.5),(79 2238222.8),
(1 91523.31),(2 331353.1),(3 651308.25),(4 983745),(5 1273902.1),(6 1482014.8),(7 1591633.5),(8 1601103.4),(9 1530106.9),(10 1410386),(11 1290145.9),(12 1212381.3),(13 1188056.9),(14 1200339.9),(15 1245729.6),(16 1312933.3),(17 1378642.8),(18 1434256.1),(19 1461818.8),(20 1475919.8),(21 1493639.1),(22 1522622),(23 1556869),(24 1583732.6),(25 1599749),(26 1605971.4),(27 1592168),(28 1549232.3),(29 1498336),(30 1463707.4),(31 1439548.8),(32 1409525.6),(33 1388891.3),(34 1387942.9),(35 1403916.5),(36 1441059),(37 1480606.1),(38 1526900.6),(39 1574730.3),(40 1621334.4),(41 1658659.8),(42 1681120.9),(43 1703971.4),(44 1735824.6),(45 1774186.5),(46 1812817.9),(47 1849342.4),(48 1873653.3),(49 1880941.6),(50 1862090.1),(51 1849873.9),(52 1855506.5),(53 1887930.1),(54 1954095.8),(55 2021835.4),(56 2035057.9),(57 2014998.9),(58 1974487.4),(59 1911837.9),(60 1826641.4),(61 1770136.6),(62 1782540.4),(63 1843318),(64 1902136.5),(65 1913746.6),(66 1884421),(67 1830773),(68 1771278.1),(69 1738723.4),(70 1767071.9),(71 1833902),(72 1888140.1),(73 1918103.8),(74 1929127.4),(75 1912783.5),(76 1872248.3),(77 1826969.8),(78 1818031.5),(79 1841594.1),
(1 75525.914),(2 272820.97),(3 536848.44),(4 811105.1),(5 1048488.3),(6 1215119.1),(7 1294276.9),(8 1290762.1),(9 1208517.1),(10 1076729.9),(11 946884.1),(12 860014.2),(13 822509.56),(14 833744.75),(15 896269.6),(16 1003808.75),(17 1117383.1),(18 1215152.6),(19 1275729.9),(20 1297420.6),(21 1291717),(22 1266226.5),(23 1225019.5),(24 1188047.5),(25 1170199.9),(26 1157482.5),(27 1150521.5),(28 1147978.4),(29 1144421.6),(30 1132765.9),(31 1114762.5),(32 1092966.5),(33 1077881.5),(34 1075560),(35 1077846.5),(36 1088879.8),(37 1132134.4),(38 1205311.5),(39 1271730.1),(40 1321152.3),(41 1348461.8),(42 1349700.1),(43 1346616.5),(44 1357533.5),(45 1387625.9),(46 1408531.4),(47 1418652.9),(48 1428871.5),(49 1454330.4),(50 1483495.6),(51 1507104.6),(52 1522558.1),(53 1527314.8),(54 1520995.3),(55 1496631.9),(56 1448794.5),(57 1404996.3),(58 1380494.4),(59 1369234.9),(60 1363498.1),(61 1376138.1),(62 1420127.1),(63 1465985.4),(64 1494144.6),(65 1518881.9),(66 1553248.9),(67 1590959.3),(68 1624992.6),(69 1659424.4),(70 1694449.8),(71 1718396.9),(72 1717648.3),(73 1724801.9),(74 1753686.9),(75 1792952.9),(76 1833762.4),(77 1873070.3),(78 1922912),(79 1974470.9),
(1 67909.9),(2 240989.3),(3 457691.44),(4 670092.3),(5 850591.25),(6 985692.6),(7 1057930.8),(8 1071686.6),(9 1028432),(10 965192.4),(11 925347),(12 918877.2),(13 937879.4),(14 979868.06),(15 1035767.25),(16 1083957.6),(17 1103753.8),(18 1097291.1),(19 1076252.6),(20 1047581.2),(21 1026976.6),(22 1023146.7),(23 1038633.3),(24 1079778.4),(25 1134830.5),(26 1176027.9),(27 1185779.6),(28 1160119.6),(29 1106907.8),(30 1046288.8),(31 1007746.06),(32 993318.1),(33 1003970.25),(34 1048218.06),(35 1116743.5),(36 1197673.8),(37 1261915),(38 1309312.1),(39 1346830.3),(40 1363371.1),(41 1359013.6),(42 1341336),(43 1317886.4),(44 1300989.8),(45 1314407.5),(46 1338041.1),(47 1350124.3),(48 1345758),(49 1350504.9),(50 1369598.5),(51 1400436.9),(52 1443239.1),(53 1492150.8),(54 1542195.5),(55 1589226),(56 1598615.5),(57 1577615.6),(58 1559241.4),(59 1556243),(60 1547709.6),(61 1540610.6),(62 1565959.1),(63 1607928.8),(64 1635912.8),(65 1638729.5),(66 1634313.6),(67 1625844.6),(68 1603055.1),(69 1586852.3),(70 1591400.5),(71 1601477.8),(72 1601211.4),(73 1616785.3),(74 1652535.9),(75 1684579.9),(76 1707867.1),(77 1738042.3),(78 1782545.9),(79 1812093.3),
(1 80983.77),(2 286705.5),(3 546263.6),(4 799626.9),(5 1004431.75),(6 1136081.1),(7 1178331.8),(8 1140704.4),(9 1049510.9),(10 956590.75),(11 895488.06),(12 862605.3),(13 857448.56),(14 878254.06),(15 917675.56),(16 955781.75),(17 990224.9),(18 1033114.5),(19 1081393.1),(20 1132739.6),(21 1188658.5),(22 1229546.3),(23 1238714.6),(24 1224020.3),(25 1194338.3),(26 1164367),(27 1126173.1),(28 1079128.1),(29 1041268.44),(30 1029376.7),(31 1047592.56),(32 1088558.6),(33 1146722.6),(34 1207359.6),(35 1236484.6),(36 1217148.6),(37 1169007.5),(38 1127525.1),(39 1105375.1),(40 1121088.5),(41 1167147.3),(42 1217884.1),(43 1247234),(44 1258547.1),(45 1273666.1),(46 1284031.6),(47 1277482.1),(48 1264008.9),(49 1279366.8),(50 1326177.6),(51 1381379.1),(52 1425773.4),(53 1432810.9),(54 1406650.4),(55 1369500.4),(56 1340292.1),(57 1347773.6),(58 1385860.9),(59 1413492),(60 1412313.9),(61 1414999.9),(62 1435975.5),(63 1442138.9),(64 1433531.6),(65 1454376.6),(66 1492922.3),(67 1502598),(68 1494896.5),(69 1518544.4),(70 1563445.4),(71 1597995.8),(72 1628648),(73 1676909.5),(74 1703600.4),(75 1679471.6),(76 1651144.5),(77 1649432.8),(78 1654583.1),(79 1654403.3),
(1 67737.22),(2 236345.75),(3 440834.75),(4 629357.6),(5 774164.9),(6 866112.4),(7 902490.94),(8 885706.9),(9 835380.06),(10 793876.56),(11 772791.8),(12 765584.7),(13 761811.8),(14 763210.25),(15 776942.4),(16 805276),(17 851855.1),(18 910789),(19 964559.6),(20 1006639.44),(21 1040225),(22 1059441.8),(23 1060215.9),(24 1041108.7),(25 998333.3),(26 935154.25),(27 873379.94),(28 833550.06),(29 828669.1),(30 856987.3),(31 914446.94),(32 986736.6),(33 1048451.75),(34 1076024.1),(35 1066380.3),(36 1028130.7),(37 988222.5),(38 973260.4),(39 1000218.5),(40 1071094.3),(41 1147299.9),(42 1189625.8),(43 1193728.1),(44 1171155.5),(45 1155049.4),(46 1153698.5),(47 1171354.3),(48 1219996.8),(49 1300676.8),(50 1375147.8),(51 1409524.9),(52 1413036.5),(53 1415263.6),(54 1441364.4),(55 1486170.8),(56 1524294.4),(57 1546372.6),(58 1543336.9),(59 1531019.8),(60 1528411.8),(61 1546182),(62 1567462.8),(63 1568403),(64 1560344.4),(65 1554343.5),(66 1542857.3),(67 1527793.4),(68 1538739.5),(69 1576577.6),(70 1612155),(71 1633469.5),(72 1647365.8),(73 1656733.5),(74 1650623.6),(75 1649411.3),(76 1686957.8),(77 1727095.5),(78 1742049.1),(79 1758324.8),
(1 71872.13),(2 245129.67),(3 441064.44),(4 605614.5),(5 721142.3),(6 788122.1),(7 812016.3),(8 809040.2),(9 801196.56),(10 805130.3),(11 811057.1),(12 805256),(13 788639.25),(14 776615.2),(15 793056.94),(16 842628.75),(17 909285.3),(18 974253.1),(19 1025848),(20 1055402.5),(21 1057789.5),(22 1041260.4),(23 1014662.75),(24 978136.4),(25 932444.75),(26 885076.1),(27 858669.8),(28 868208.9),(29 907855.3),(30 959771.8),(31 999281.9),(32 997577.44),(33 959627.8),(34 918892.4),(35 894123.7),(36 895284.4),(37 918948.4),(38 971620),(39 1045259.8),(40 1093667),(41 1089808.6),(42 1056167.1),(43 1030626.3),(44 1029030.1),(45 1057512),(46 1093525.8),(47 1120828),(48 1136945.6),(49 1139886.5),(50 1125748.3),(51 1114462),(52 1126789.1),(53 1167628.1),(54 1225288.4),(55 1262765.1),(56 1257710.9),(57 1231320.8),(58 1210839.6),(59 1203969.1),(60 1205836.8),(61 1223238.6),(62 1245053.4),(63 1249692.8),(64 1250614),(65 1279807),(66 1320946.1),(67 1351645.1),(68 1393866.6),(69 1435679.9),(70 1449793.9),(71 1452522.6),(72 1491973.9),(73 1550344.1),(74 1586676),(75 1611385.9),(76 1634423.4),(77 1633000.4),(78 1625825.1),(79 1629075.4),
(1 69761.63),(2 236453.56),(3 421982.75),(4 570724.4),(5 658706.4),(6 686949.9),(7 672930.2),(8 640361.1),(9 614374.94),(10 616239.3),(11 634544.06),(12 651014.25),(13 665409.3),(14 691248.06),(15 731019),(16 778716.8),(17 827340.2),(18 874032.44),(19 901021.9),(20 906845.25),(21 896982.56),(22 874598.06),(23 844316.2),(24 824093.1),(25 816787.8),(26 820926.25),(27 831627),(28 826616.8),(29 813212.4),(30 804043.44),(31 807064.8),(32 823352.25),(33 844890.1),(34 870448.6),(35 903228.8),(36 929518.94),(37 935695.44),(38 927637.1),(39 898629.1),(40 885754.1),(41 899340.8),(42 923225.44),(43 961013.9),(44 994446.56),(45 1019136.4),(46 1025203.4),(47 1000553.25),(48 970693.1),(49 964978.3),(50 978037.7),(51 998129.44),(52 1000469.94),(53 996079.4),(54 982899.94),(55 975989.6),(56 970823.2),(57 967266.3),(58 989259.75),(59 1035818.1),(60 1084281.1),(61 1112222.3),(62 1119850.8),(63 1126165.8),(64 1146569.4),(65 1164178.3),(66 1163475.9),(67 1160706.6),(68 1166232.9),(69 1173309.1),(70 1183406.5),(71 1220943.3),(72 1253034.6),(73 1250264.8),(74 1230340),(75 1227436.3),(76 1230795),(77 1232519.1),(78 1252520.1),(79 1266756.4),
