1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 15728.828),(2 30901.244),(3 75831.305),(4 117542.445),(5 164823.23),(6 188649.36),(7 241351.95),(8 286574.47),(9 321924.22),(10 371633.28),(11 420020.13),(12 444028),(13 499214.13),(14 533807.3),(15 559167.25),(16 602720.9),(17 645663.2),(18 668453.06),(19 727021.56),(20 773118.5),(21 812524),(22 871644),(23 920850.5),(24 942163),(25 996480.25),(26 1029836.25),(27 1064120.3),(28 1128320.1),(29 1175131),(30 1200444.1),(31 1272584),(32 1309508.6),(33 1361425.4),(34 1412734),(35 1468285.9),(36 1494683.4),(37 1559001.1),(38 1592246.4),(39 1615978.4),(40 1651222.4),(41 1679098.5),(42 1692497),(43 1727000),(44 1744955.1),(45 1758863.5),(46 1787283.1),(47 1811637),(48 1834071.6),(49 1860145.5),(50 1882941.9),(51 1914787),(52 1958500.6),(53 2079858.6),(54 2126910.3),(55 2182613.8),(56 2273087.3),(57 2393471),(58 2523846),(59 2675808.8),(60 2881464),(61 3103738.8),(62 3344204.8),(63 3615790),(64 3885952.3),(65 4141720.3),(66 4459137),(67 4776574.5),(68 5129286),(69 5571105.5),(70 6018048),(71 6499620),(72 7019836),(73 7575804),(74 8163954),(75 8794103),(76 9435021),(77 10128760),(78 11016431),(79 11814704),
(1 7524.122),(2 21506.916),(3 41729.973),(4 60251.38),(5 78434.54),(6 95675.16),(7 110794.03),(8 124216.18),(9 136542.7),(10 147030.14),(11 156530.2),(12 164509.9),(13 171288.33),(14 175975.1),(15 179569.39),(16 181881.34),(17 183885.56),(18 186179.39),(19 188197.7),(20 189805.02),(21 191277.27),(22 192298.72),(23 193263.66),(24 193525.69),(25 193217.14),(26 193014.94),(27 192409.47),(28 191540.64),(29 192169.61),(30 191991.4),(31 192971.61),(32 194658.73),(33 197073.05),(34 198413.75),(35 200353.66),(36 201652.44),(37 202606.2),(38 203200.14),(39 203339.13),(40 204129.88),(41 204976.1),(42 206844.25),(43 207928.13),(44 209340.34),(45 210122.52),(46 209257.27),(47 208781.36),(48 208783.67),(49 209079.55),(50 208950.67),(51 209435.05),(52 210077.9),(53 209493.23),(54 209389.94),(55 209893.86),(56 210428.36),(57 211351.22),(58 212040.52),(59 212870.02),(60 213995.81),(61 215136.66),(62 216977.48),(63 218393.44),(64 218718.1),(65 219616.17),(66 220579.66),(67 221401.88),(68 222500.55),(69 223920.63),(70 223850.03),(71 223060.28),(72 222001.77),(73 220739.52),(74 220347.61),(75 220144.64),(76 220338.14),(77 220785.47),(78 221830.77),(79 223261.98),
(1 7512.601),(2 21611.248),(3 41914.99),(4 60572.168),(5 78647.42),(6 95539.266),(7 110213.9),(8 122958),(9 135039.8),(10 145559.83),(11 154901.66),(12 162259.72),(13 167331.72),(14 170368.58),(15 173085.7),(16 174839.75),(17 177180.6),(18 179518.08),(19 182099.33),(20 183710.39),(21 184791.19),(22 185434.13),(23 185888.84),(24 186376.34),(25 186827.98),(26 187959.78),(27 188742.08),(28 188821.17),(29 189556.23),(30 189764.08),(31 189444.8),(32 188630.25),(33 187183.66),(34 184983.61),(35 183402.84),(36 182698.66),(37 182248.61),(38 182224.55),(39 182747.13),(40 183121.34),(41 184896.88),(42 188916.52),(43 192351.47),(44 195224.14),(45 198234.42),(46 199529.58),(47 200740.58),(48 202146.2),(49 201361.56),(50 200536.75),(51 200105.2),(52 200397.88),(53 199947.9),(54 201180.13),(55 203112.83),(56 205066.81),(57 207675.31),(58 210351.78),(59 213057.27),(60 215364.81),(61 216933.66),(62 218857.47),(63 220272.2),(64 220800.44),(65 221904.08),(66 224190.17),(67 225780.17),(68 228025.11),(69 230735.31),(70 232743.75),(71 235517.95),(72 237307.94),(73 238493.47),(74 239600.17),(75 241114.45),(76 242625.61),(77 245607.02),(78 247517.03),(79 249141.05),
(1 7180.9775),(2 20117.102),(3 38473.805),(4 54926.945),(5 70449.33),(6 84897.73),(7 98390.23),(8 110236.3),(9 122145.94),(10 132657.67),(11 141597.88),(12 148232.4),(13 153343.34),(14 156326.45),(15 159503.16),(16 161539.03),(17 164106.98),(18 166495.86),(19 168787.7),(20 170620.92),(21 172275.77),(22 173574.42),(23 174289.38),(24 175355.7),(25 175999.9),(26 177407.81),(27 178088.44),(28 178259.02),(29 178492.13),(30 178494.61),(31 179040.03),(32 179766.2),(33 180763.97),(34 181723.52),(35 183008.56),(36 184091.64),(37 184888.94),(38 185675.6),(39 187711.16),(40 189917.5),(41 191070.06),(42 193149.98),(43 194158.02),(44 195720.19),(45 197745.25),(46 198532.72),(47 198839.47),(48 199674.28),(49 200152.13),(50 200511.77),(51 201187.75),(52 201140.11),(53 200381.88),(54 200265.92),(55 200502.66),(56 200500.88),(57 200989.03),(58 201337.45),(59 201641.81),(60 202371.58),(61 202359.36),(62 203090.7),(63 203578.9),(64 203690.03),(65 203682.31),(66 204791.7),(67 205691.92),(68 207788.61),(69 209625.56),(70 211186.56),(71 212547.48),(72 214276.73),(73 215779.52),(74 217296.88),(75 217690.31),(76 218095.78),(77 217744.92),(78 217133.56),(79 217760.36),
(1 6869.4277),(2 19468.957),(3 36983.42),(4 52763.895),(5 67548.195),(6 81041.19),(7 92720.22),(8 102611.08),(9 111873.086),(10 120039.43),(11 127544.28),(12 134776.13),(13 141624.75),(14 147092.66),(15 151682.42),(16 154472.97),(17 157299.33),(18 158890.75),(19 159772.31),(20 160487.55),(21 161362.95),(22 161870.44),(23 162499.4),(24 163123.52),(25 163777.75),(26 165091.38),(27 165882.66),(28 166938.31),(29 168331.34),(30 169032.73),(31 169652.94),(32 170212.67),(33 171615.39),(34 172526.98),(35 173208.4),(36 173784.81),(37 174030.6),(38 174555.39),(39 176041.44),(40 178345.84),(41 179707.27),(42 181546.63),(43 182663.81),(44 184396.06),(45 185329.89),(46 186259.61),(47 187053.27),(48 187651.67),(49 188632.2),(50 189244.81),(51 189922.75),(52 189923.1),(53 191266.1),(54 192021.61),(55 192505),(56 192070.11),(57 191937.05),(58 191414.66),(59 191753.9),(60 192345.69),(61 193063.23),(62 194545.33),(63 195968.44),(64 197890.45),(65 199030.94),(66 201500.34),(67 202070.39),(68 203421.58),(69 204501.2),(70 204367.44),(71 204829.02),(72 205754.05),(73 207236.14),(74 208939.48),(75 210342.67),(76 210763.44),(77 211412.83),(78 210033.89),(79 209163.05),
(1 7027.5645),(2 19752.877),(3 36897.89),(4 51924.336),(5 65835.76),(6 78500.336),(7 90258.305),(8 100726.52),(9 110005.74),(10 118219.44),(11 125516.414),(12 132030.13),(13 136829.05),(14 140617.83),(15 143877.56),(16 146191.73),(17 149088.69),(18 151703.97),(19 153910.02),(20 155364.92),(21 155675.9),(22 155940.89),(23 157114.19),(24 159621.36),(25 162716.13),(26 166520.44),(27 169120),(28 171047.44),(29 172821.42),(30 174813.6),(31 176946.84),(32 177673.23),(33 178827.4),(34 179727.36),(35 180261.6),(36 180421.34),(37 181161.83),(38 182398.83),(39 184357.78),(40 185286.4),(41 185285.66),(42 185635.39),(43 185239.27),(44 185611.11),(45 185551.27),(46 184451.75),(47 183322.55),(48 183142.02),(49 183393.8),(50 184111.13),(51 184945.42),(52 184794.45),(53 184378.58),(54 184445.72),(55 185413.61),(56 185795.11),(57 185398.11),(58 184024.84),(59 182420.52),(60 181398),(61 179949.9),(62 179569.61),(63 179336.56),(64 179202.47),(65 180034.58),(66 180428.11),(67 180114.78),(68 180359.55),(69 180683.08),(70 180772.77),(71 181047.5),(72 182351.42),(73 182700.84),(74 183886.4),(75 184891.92),(76 185635.55),(77 186574.88),(78 187297.3),(79 188492.06),
(1 6873.463),(2 19122.234),(3 35450.17),(4 49862.977),(5 63184.89),(6 75207.34),(7 85552.42),(8 94208.12),(9 101998.78),(10 109460.09),(11 116589.875),(12 122934.98),(13 127010.01),(14 129612.76),(15 131986.02),(16 134438.72),(17 137410.72),(18 141437.89),(19 145578.78),(20 149628.45),(21 152838.34),(22 156393.63),(23 159282.03),(24 162903.86),(25 165294.27),(26 168111.05),(27 170833.95),(28 172555.16),(29 173396.19),(30 173835.25),(31 173894.66),(32 174246.4),(33 174796.38),(34 175172.55),(35 175350.03),(36 175411.97),(37 175094.97),(38 175257.98),(39 175230.63),(40 175294.77),(41 175192.53),(42 175699.42),(43 174529.06),(44 173233.06),(45 173180.69),(46 173280.88),(47 174380.48),(48 175720.39),(49 175612.55),(50 176380.5),(51 177049.44),(52 178004.61),(53 179116.31),(54 179980.22),(55 181568.83),(56 183574.64),(57 186016.8),(58 186636.31),(59 186559.61),(60 185947.33),(61 185065.63),(62 184630.58),(63 184800.36),(64 183874.88),(65 183224.44),(66 181608.14),(67 179452.27),(68 177931.11),(69 177395.9),(70 178172.23),(71 178971.11),(72 180362.95),(73 182713.55),(74 185406.52),(75 188515.16),(76 190314.16),(77 191342.17),(78 192543.36),(79 194168.56),
(1 7298.81),(2 20556.291),(3 38421.105),(4 54279.242),(5 68516.76),(6 81553.95),(7 92090.15),(8 100878.16),(9 108452.85),(10 115647.53),(11 122264.04),(12 128057.484),(13 131725.38),(14 134975.9),(15 137501.42),(16 139706.38),(17 141724.19),(18 144063.36),(19 145711.63),(20 147223.81),(21 148810.17),(22 149998.64),(23 150984.38),(24 152209.36),(25 153892.77),(26 156570.42),(27 159733.27),(28 162399.38),(29 163969.89),(30 163813.52),(31 163412.11),(32 163167.6),(33 163496.3),(34 163178.4),(35 162792.52),(36 162503.7),(37 161754.4),(38 161962.08),(39 161902.44),(40 161831.13),(41 161697.7),(42 162531.8),(43 163255.06),(44 163014.92),(45 163340.48),(46 162320.17),(47 162131.02),(48 163267.03),(49 163852.13),(50 164841.33),(51 166473.44),(52 168172.97),(53 170699.52),(54 171944.19),(55 172823.23),(56 173810.8),(57 174738.88),(58 176079.67),(59 178114.23),(60 179964.64),(61 181178.48),(62 181390.22),(63 181586.22),(64 179365.52),(65 177387.78),(66 176375.28),(67 175192),(68 175855.2),(69 176372.14),(70 177981.27),(71 179626.89),(72 181670.7),(73 182501),(74 183172.17),(75 184643.72),(76 186587.94),(77 188029.11),(78 188886.94),(79 190879.72),
(1 7189.2075),(2 19959.035),(3 37491.6),(4 52515.266),(5 66542.01),(6 79270.93),(7 90272.93),(8 100083.78),(9 109475.55),(10 117872.86),(11 124995.48),(12 130162.89),(13 133292.52),(14 135606.13),(15 137315.16),(16 139095.06),(17 140949.5),(18 142571.72),(19 143706.64),(20 145269.38),(21 146739.86),(22 148106.81),(23 149833.55),(24 151722.8),(25 154038.52),(26 156977.03),(27 160621.45),(28 163245.2),(29 164647.58),(30 165384.63),(31 166044.16),(32 166909.25),(33 168190.11),(34 169040.61),(35 169567.13),(36 170795.89),(37 172009.67),(38 172863.45),(39 174096.19),(40 174605.34),(41 175473.86),(42 176628.36),(43 177042.13),(44 177124.08),(45 177247.2),(46 176263.63),(47 175407.19),(48 175211.5),(49 174832.13),(50 175007.05),(51 175231.58),(52 175491.22),(53 177636.8),(54 179473.06),(55 180107.36),(56 180653.89),(57 181010.3),(58 180711.63),(59 180698.02),(60 181546.06),(61 182249.64),(62 182974.5),(63 183452.69),(64 182879.83),(65 182859.58),(66 182917.69),(67 183012.89),(68 183492.05),(69 185256.11),(70 186949.81),(71 188442.84),(72 190011.97),(73 191475.75),(74 192421.84),(75 192756.38),(76 192797.72),(77 193237.6),(78 194560.47),(79 195345.16),
(1 7131.4565),(2 19723.656),(3 36813.234),(4 51678.2),(5 65114.375),(6 77205.74),(7 87488.16),(8 97137.19),(9 106493.195),(10 115150.234),(11 121751.22),(12 126460.54),(13 128762.195),(14 130208.99),(15 131902.5),(16 133250.8),(17 135360.48),(18 137674.83),(19 139679.39),(20 141922.08),(21 143677.81),(22 144722.61),(23 146206.45),(24 146866.48),(25 147863.16),(26 149600.52),(27 151173.66),(28 151556.66),(29 152109.5),(30 152289.53),(31 152012.34),(32 151867.86),(33 152456.55),(34 152483.94),(35 152592.17),(36 153155.64),(37 153618),(38 153434.22),(39 153180.22),(40 152210.89),(41 151635.78),(42 152076.73),(43 152079.83),(44 151728.89),(45 151136.2),(46 150665.27),(47 151140.28),(48 152299.2),(49 154342.38),(50 156913.73),(51 160618),(52 164550.69),(53 169341.13),(54 173036.3),(55 176567.11),(56 179008.94),(57 179990.58),(58 179974.47),(59 179969.73),(60 180524.48),(61 180857.27),(62 181719.36),(63 181755.33),(64 181353.17),(65 181632.9),(66 182274.7),(67 181928.39),(68 180655.42),(69 180202.7),(70 180297.11),(71 180948.89),(72 181407.97),(73 181036.52),(74 181349.98),(75 181443.33),(76 181721.28),(77 182471.81),(78 184164.14),(79 185022.67),
(1 6919.9326),(2 18906.207),(3 35030.39),(4 49089.47),(5 61592.727),(6 73205.17),(7 83547.25),(8 92634.39),(9 100770.695),(10 107686.62),(11 113502.11),(12 118347.8),(13 121919.3),(14 125042.11),(15 127597.76),(16 128944.8),(17 130549.836),(18 132220.8),(19 133305.77),(20 134294),(21 135143.98),(22 135709.33),(23 136659.19),(24 137312.44),(25 137850.86),(26 138579.83),(27 139644.63),(28 141195.5),(29 142489.77),(30 143551.95),(31 144816.31),(32 146159.83),(33 147122.34),(34 147147.36),(35 146602.81),(36 146198.67),(37 145455.23),(38 144681.19),(39 144209.61),(40 143593.63),(41 143415.48),(42 143370.2),(43 143655.06),(44 144142.19),(45 144759.88),(46 145232.16),(47 146340.66),(48 147523.75),(49 149066.98),(50 150568.6),(51 152108.28),(52 153539.02),(53 155910.97),(54 157300.88),(55 158283.17),(56 159088.55),(57 160024.2),(58 160443.9),(59 161476.83),(60 162793.1),(61 162578.22),(62 162719.31),(63 162575.72),(64 162400.36),(65 162060.23),(66 162160.1),(67 162354.08),(68 162292.06),(69 163456.55),(70 163770.48),(71 165143.3),(72 166576.44),(73 167960.7),(74 169913.75),(75 172034),(76 173793.48),(77 176381.94),(78 177226.16),(79 178032.84),
(1 6833.8696),(2 18818.07),(3 35076.14),(4 49140.4),(5 62009.1),(6 73556.516),(7 84023.27),(8 92768.914),(9 100363.29),(10 106801.625),(11 112151.05),(12 116468.21),(13 119134.52),(14 121471.91),(15 123318.16),(16 124111.305),(17 125288.805),(18 126379.15),(19 127213.875),(20 128680.45),(21 130785.125),(22 133088.61),(23 134856.66),(24 136041.34),(25 136603.53),(26 136886.95),(27 137287.52),(28 138906.58),(29 139881.58),(30 141271.3),(31 141842.89),(32 142332.1),(33 143075.66),(34 143585.53),(35 144192.22),(36 145489.03),(37 146315.45),(38 147073.94),(39 147632.97),(40 147433.6),(41 148178.56),(42 148713.11),(43 148679.92),(44 148459.81),(45 148730.25),(46 149856.56),(47 152039.67),(48 155953.52),(49 158770.81),(50 160647.03),(51 162392.44),(52 163267.95),(53 165584.52),(54 167001.95),(55 167536.2),(56 167539.6),(57 168035.39),(58 167650.44),(59 167333.4),(60 167318.89),(61 166517.73),(62 165678.47),(63 164549.67),(64 164254.94),(65 164380.36),(66 164773.11),(67 164811),(68 165329.83),(69 165882.7),(70 165829),(71 166631.55),(72 167295.67),(73 167465.42),(74 168298.33),(75 169560.06),(76 170311.44),(77 171745.53),(78 173766.33),(79 176201.08),
(1 6753.06),(2 18722.326),(3 34667.594),(4 48646.05),(5 61616.293),(6 73014.914),(7 83282.86),(8 91640.664),(9 98560.945),(10 104406.89),(11 109077.83),(12 112855.51),(13 115846.7),(14 117988.08),(15 120070.72),(16 121060.3),(17 122387),(18 123851.9),(19 124295.01),(20 125047.14),(21 125835.13),(22 126850.17),(23 127392.58),(24 128247.055),(25 128364.445),(26 128711.125),(27 128865.586),(28 128984.49),(29 129453.39),(30 130480.77),(31 130802.91),(32 130880.54),(33 131366.83),(34 131369.61),(35 131470.94),(36 132525.84),(37 133396.13),(38 135109.17),(39 136585.11),(40 137995.55),(41 138809.05),(42 140009.19),(43 140941.64),(44 142033.83),(45 143854.02),(46 145399.55),(47 147495.67),(48 149484.17),(49 151093.5),(50 151373.16),(51 152367.17),(52 153157.75),(53 155414.36),(54 156454.55),(55 157228.52),(56 157718.73),(57 158287.02),(58 159244.69),(59 160508.27),(60 161557.52),(61 161255.94),(62 160946.92),(63 160421.69),(64 160523.75),(65 160992.06),(66 162100.45),(67 161884.9),(68 162315.66),(69 163065.3),(70 162971.31),(71 162685.48),(72 162828.39),(73 163152.08),(74 164500.69),(75 166566.63),(76 167950.03),(77 168761.19),(78 168314.58),(79 169265.38),
(1 6626.377),(2 18408.441),(3 34322.844),(4 48262.496),(5 61145.402),(6 72876.51),(7 83846.414),(8 93116.99),(9 101036.03),(10 108118.68),(11 113581.9),(12 118095.734),(13 121442.48),(14 124524.234),(15 126888.08),(16 128409.35),(17 129741.32),(18 131312.22),(19 132108.89),(20 132854),(21 133925.39),(22 135154.3),(23 136166.66),(24 137221.11),(25 138362.4),(26 139162.28),(27 140358.48),(28 140888.06),(29 140629.17),(30 140044.48),(31 138912.58),(32 138273.77),(33 138007.56),(34 137733.75),(35 137856.02),(36 139154.73),(37 139425.05),(38 139908.61),(39 140622.23),(40 141367.73),(41 142185.66),(42 143527.64),(43 144151.34),(44 144330.61),(45 145661.52),(46 146980.44),(47 148130.42),(48 149052.47),(49 149644.98),(50 150032.7),(51 149890.83),(52 150306.83),(53 150228.34),(54 150068.17),(55 150156.17),(56 150956.5),(57 151837.3),(58 152623.23),(59 153661.08),(60 154867.11),(61 155609.2),(62 156615.19),(63 157278.45),(64 157245.98),(65 157765.45),(66 158136),(67 157199.45),(68 157021.39),(69 157321.77),(70 156816.48),(71 156631.98),(72 157131.34),(73 157458.02),(74 158084),(75 158003.25),(76 158071.66),(77 158749.45),(78 159883.77),(79 161369.25),
(1 6830.17),(2 19330.47),(3 36178.543),(4 51065.76),(5 64684.008),(6 77148.47),(7 88242.234),(8 97988.414),(9 106764.836),(10 114165.13),(11 120074.51),(12 124484.65),(13 127374.086),(14 129868.5),(15 131679.83),(16 132541.5),(17 133048.69),(18 134134.72),(19 134748.97),(20 135068.86),(21 135774.84),(22 136438.63),(23 136937.34),(24 137983.52),(25 138912.61),(26 140020.6),(27 141190.14),(28 141152.5),(29 141367.34),(30 141541),(31 141766.75),(32 142744.08),(33 143401.58),(34 144082.16),(35 144034),(36 144811.81),(37 145757.36),(38 146383.05),(39 146561.55),(40 146238.2),(41 146741.33),(42 147833.95),(43 147971.8),(44 148838.4),(45 149808.55),(46 150866.84),(47 151860.23),(48 152156.83),(49 150970.22),(50 150433.64),(51 150104.6),(52 150294.19),(53 150871.78),(54 150868.64),(55 150611.2),(56 152355.3),(57 154471.78),(58 156082.23),(59 158135.27),(60 159438.92),(61 159288.2),(62 159791.25),(63 160259.22),(64 159363.53),(65 158669.3),(66 157858.64),(67 155545.16),(68 153945.75),(69 152516.8),(70 151616.9),(71 151878.25),(72 152470.1),(73 153000.06),(74 153244.2),(75 154070.72),(76 155021.77),(77 156533.42),(78 158038.83),(79 159490.95),
(1 6785.516),(2 18830.404),(3 35085.313),(4 49735.074),(5 63181.043),(6 75165.91),(7 84757.3),(8 92650.18),(9 99486.805),(10 105486.7),(11 110526.92),(12 114298.16),(13 116864.68),(14 118978.91),(15 120110.67),(16 120266.016),(17 120224.45),(18 120127.29),(19 119556.75),(20 119237.12),(21 120166.75),(22 121342.47),(23 122700.016),(24 124222.11),(25 125438.54),(26 126544.31),(27 127926.24),(28 129564.23),(29 131432.48),(30 133529.52),(31 135275.84),(32 137980.31),(33 140783.72),(34 143578.4),(35 146267.33),(36 148960.16),(37 151439.34),(38 153300.38),(39 154995.25),(40 155903.77),(41 156867.53),(42 158207.38),(43 158560.42),(44 159623.72),(45 160687.67),(46 161408.69),(47 161513.78),(48 160992.67),(49 160378.16),(50 159985.11),(51 159668.4),(52 159522.14),(53 159064.23),(54 158700.23),(55 157798.36),(56 156753.27),(57 155902.13),(58 155625.9),(59 156417.31),(60 157713.75),(61 158592.98),(62 159725.61),(63 161413.58),(64 161940.92),(65 162616.13),(66 162909.88),(67 162009.92),(68 160916.17),(69 159652.33),(70 157532.78),(71 156614.77),(72 156553.58),(73 156725.11),(74 155731.72),(75 154240.89),(76 152762.98),(77 151920.97),(78 152753.58),(79 152997.98),
