1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 46139.625),(2 176561.1),(3 378815.44),(4 633393.06),(5 919921.56),(6 1206638.6),(7 1467733.9),(8 1683401.3),(9 1852572.4),(10 1982104.8),(11 2073238.4),(12 2134473.5),(13 2175282.8),(14 2204507.3),(15 2230420.8),(16 2256960.8),(17 2295684.8),(18 2344699.8),(19 2403765),(20 2459822),(21 2505059.8),(22 2540436.3),(23 2563982.3),(24 2565688.3),(25 2551308.5),(26 2518141),(27 2479807.3),(28 2442135),(29 2410179),(30 2389684.3),(31 2378955.3),(32 2378581.8),(33 2394227.3),(34 2422205.8),(35 2468003.5),(36 2526054),(37 2594484.5),(38 2660254.3),(39 2718562.8),(40 2764749.5),(41 2797602.8),(42 2813164.8),(43 2810700.8),(44 2786186.8),(45 2749037),(46 2707409),(47 2666282.5),(48 2630562),(49 2601898),(50 2586510.5),(51 2583881.3),(52 2592261),(53 2625214),(54 2685500.5),(55 2761356.5),(56 2848071.3),(57 2941071.3),(58 3027790),(59 3111193.8),(60 3189784.3),(61 3264492.5),(62 3330541.3),(63 3386688.8),(64 3422720),(65 3445633.5),(66 3462346.5),(67 3467197.3),(68 3470062),(69 3473622.3),(70 3478118.3),(71 3492165.5),(72 3515028.3),(73 3546491.3),(74 3579977.5),(75 3616499.5),(76 3651282),(77 3682812.3),(78 3719049),(79 3763094),
(1 55868.08),(2 212028.11),(3 450470.34),(4 742097.56),(5 1057776.9),(6 1364704.1),(7 1636257),(8 1847611.6),(9 1997103.4),(10 2095852.4),(11 2151560.8),(12 2180551.8),(13 2195573.8),(14 2208506.8),(15 2228353.3),(16 2259833),(17 2310352),(18 2366654),(19 2430427.3),(20 2487671.8),(21 2533628),(22 2564965.3),(23 2583154.3),(24 2576229.8),(25 2557830.8),(26 2529514.5),(27 2494867.8),(28 2462348.8),(29 2437105),(30 2422328.3),(31 2410689.3),(32 2399146.8),(33 2392931.8),(34 2398129),(35 2424606),(36 2468127.8),(37 2531790),(38 2612699),(39 2708951.3),(40 2813587.3),(41 2923977.3),(42 3026010.8),(43 3114866.8),(44 3177780),(45 3217434.8),(46 3218230.8),(47 3188811.3),(48 3126257.3),(49 3044630.3),(50 2956729.8),(51 2879422),(52 2821894.8),(53 2795053),(54 2799707.8),(55 2843260),(56 2915622.8),(57 3018808.8),(58 3144659.3),(59 3286199.3),(60 3427833.8),(61 3571313.3),(62 3694210.8),(63 3803709.3),(64 3883712.8),(65 3942238),(66 3980420.8),(67 4000871.3),(68 4003027.8),(69 4000820),(70 3997048),(71 4001142.3),(72 4007047),(73 4020816),(74 4040688.3),(75 4066774.3),(76 4107504.8),(77 4153678),(78 4210598.5),(79 4267657.5),
(1 45528.83),(2 172851.9),(3 366283.53),(4 599475.94),(5 848878.3),(6 1087600),(7 1286839.5),(8 1428910.1),(9 1518939.3),(10 1569463.3),(11 1597045.6),(12 1618374.1),(13 1647692.5),(14 1691391.6),(15 1756344.4),(16 1840167.4),(17 1942825.9),(18 2051654.3),(19 2157450.5),(20 2239466),(21 2298506),(22 2323708.5),(23 2325470.8),(24 2299305.5),(25 2259926.8),(26 2214651.5),(27 2170128.3),(28 2132240.8),(29 2103554),(30 2086595.9),(31 2084454.1),(32 2091799),(33 2112107.8),(34 2141398.8),(35 2182890.5),(36 2228325),(37 2278198),(38 2331191),(39 2386012),(40 2446630),(41 2515705),(42 2592486.3),(43 2672163),(44 2751130.5),(45 2829751),(46 2900864.8),(47 2956523),(48 2993620.5),(49 3008297),(50 3003463.8),(51 2977922.5),(52 2931492.5),(53 2876186.3),(54 2809947.5),(55 2746175),(56 2683442.3),(57 2630263.8),(58 2591323.3),(59 2562639.8),(60 2541841.8),(61 2530038.3),(62 2516742.8),(63 2509708.5),(64 2507585.5),(65 2513136.5),(66 2533842.8),(67 2577065),(68 2633208),(69 2708078),(70 2794468.5),(71 2888108.3),(72 2981770.3),(73 3073403.8),(74 3160447.3),(75 3242008.3),(76 3308030),(77 3370231),(78 3424720.8),(79 3471517.5),
(1 44744.184),(2 169704.77),(3 358347.7),(4 583596.06),(5 816917.25),(6 1026331.4),(7 1186936.4),(8 1288597.3),(9 1340445.1),(10 1359188.6),(11 1362402.8),(12 1365151.6),(13 1377955.5),(14 1407184.1),(15 1456505.6),(16 1520971),(17 1597512.6),(18 1680641),(19 1761750.1),(20 1833255),(21 1891034.3),(22 1943522.8),(23 1986587.6),(24 2011712.1),(25 2031908.6),(26 2040158.8),(27 2036228.6),(28 2023119),(29 2002907.3),(30 1978839.5),(31 1955130.4),(32 1935067.4),(33 1929924.5),(34 1934661),(35 1955394.5),(36 1984116.5),(37 2018065.1),(38 2054563),(39 2086777.6),(40 2111500.5),(41 2138854.8),(42 2168944.3),(43 2206178.8),(44 2257940.5),(45 2332936.5),(46 2433138),(47 2555312.8),(48 2700210.3),(49 2849365.8),(50 2996085),(51 3129092.5),(52 3228562.3),(53 3313586.5),(54 3370626),(55 3403065.5),(56 3414451.5),(57 3414734),(58 3421110),(59 3435775.3),(60 3458330),(61 3491991.3),(62 3508563.3),(63 3505847.8),(64 3480520.8),(65 3432476.5),(66 3371573),(67 3296547),(68 3211912),(69 3128645),(70 3050805),(71 2989083),(72 2945395.3),(73 2929511.8),(74 2932573.5),(75 2958966),(76 2995971.3),(77 3047281),(78 3101730),(79 3148885.8),
(1 51027.508),(2 191936.33),(3 397800.75),(4 632243.56),(5 858670.94),(6 1047605.6),(7 1181718.5),(8 1251761.9),(9 1269047.1),(10 1257110.6),(11 1234318.5),(12 1221741.8),(13 1230279.9),(14 1263075.4),(15 1317627),(16 1384677.6),(17 1457523.4),(18 1521689),(19 1567772.1),(20 1595104.6),(21 1602913.6),(22 1602412.8),(23 1600576.1),(24 1600024),(25 1610121),(26 1625184.8),(27 1653466.5),(28 1687263.4),(29 1722815.8),(30 1759909.4),(31 1791711.9),(32 1815776.8),(33 1832512),(34 1843275.9),(35 1851776),(36 1857787.9),(37 1864301.5),(38 1874936.6),(39 1892215.1),(40 1917047.8),(41 1948764),(42 1984918.3),(43 2018382.1),(44 2046942.4),(45 2072501.9),(46 2096423.8),(47 2126764.8),(48 2165145.8),(49 2209567.3),(50 2257523.3),(51 2312721.8),(52 2368792),(53 2426419),(54 2481068.8),(55 2524885.3),(56 2561214.5),(57 2588994.3),(58 2618026.8),(59 2646801),(60 2685892.5),(61 2746803.3),(62 2826607.8),(63 2921442.3),(64 3016777.5),(65 3104347.3),(66 3177879),(67 3218692.3),(68 3219649),(69 3176418.3),(70 3101584.5),(71 3003533.8),(72 2891047.8),(73 2782756.5),(74 2688717.8),(75 2624227.8),(76 2599811),(77 2617329),(78 2667722.3),(79 2743275.3),
(1 43199.684),(2 161445.2),(3 333932.94),(4 530613.1),(5 724747.9),(6 885633.3),(7 995794.75),(8 1051930.4),(9 1073501.5),(10 1080416.5),(11 1097739.6),(12 1137774.8),(13 1200738.4),(14 1283372.4),(15 1378233.4),(16 1469613.5),(17 1548876.6),(18 1604620.8),(19 1629893.1),(20 1629480.3),(21 1610622.9),(22 1591205.5),(23 1574268.1),(24 1558621.3),(25 1547742.1),(26 1538840.9),(27 1533900),(28 1530801.5),(29 1535058.6),(30 1550804.5),(31 1573108.4),(32 1600701.9),(33 1636156.5),(34 1675051.5),(35 1715377.1),(36 1752732.8),(37 1789514.4),(38 1821508.3),(39 1851468.4),(40 1884816.3),(41 1922302.1),(42 1969976.8),(43 2023557.5),(44 2080048.9),(45 2140606.8),(46 2195476),(47 2241111),(48 2274799),(49 2298337),(50 2318200),(51 2339603.3),(52 2362648),(53 2389003.5),(54 2411977),(55 2431721.5),(56 2448720.5),(57 2455194.8),(58 2450387.8),(59 2435065.5),(60 2405278.3),(61 2368568.5),(62 2329084.8),(63 2296071.8),(64 2274791.3),(65 2270088.5),(66 2273720.8),(67 2280569.5),(68 2284628.3),(69 2281967.3),(70 2266273.8),(71 2242080.5),(72 2204262.3),(73 2158279.8),(74 2109289.8),(75 2062841.8),(76 2026627.4),(77 2006073.8),(78 2007507.5),(79 2032891.1),
(1 50420.75),(2 185585.33),(3 377674.78),(4 585088.75),(5 771322.06),(6 908086.94),(7 988682.44),(8 1023574.9),(9 1039915.6),(10 1054011.9),(11 1090744.5),(12 1158837.9),(13 1251000.5),(14 1355098.1),(15 1455374.1),(16 1535034.4),(17 1584529.8),(18 1598272.8),(19 1586025.1),(20 1555490.1),(21 1522337.3),(22 1499456.3),(23 1492243),(24 1498312.9),(25 1516487.1),(26 1533096),(27 1549011.1),(28 1564597.6),(29 1581049.4),(30 1608548.1),(31 1641658.5),(32 1678954.9),(33 1728835.1),(34 1786617.3),(35 1853199.6),(36 1921177.4),(37 1989517.6),(38 2050638.5),(39 2101333.5),(40 2140995.5),(41 2175149.5),(42 2205727.8),(43 2236066),(44 2269828.8),(45 2311165),(46 2354137.5),(47 2395326.5),(48 2423897.8),(49 2430050.5),(50 2414666.5),(51 2380971.3),(52 2328238.5),(53 2274192.5),(54 2226463.5),(55 2194660.3),(56 2190674.3),(57 2207442.8),(58 2243976.5),(59 2294693.8),(60 2356934),(61 2416197.3),(62 2450563),(63 2466461.8),(64 2468284.5),(65 2468219.8),(66 2472489.8),(67 2486665.3),(68 2514164.3),(69 2559325.8),(70 2612663.3),(71 2672912.5),(72 2726142.5),(73 2763874.8),(74 2773075.5),(75 2745542.8),(76 2684412.8),(77 2600453.8),(78 2507080),(79 2425958.5),
(1 44908.887),(2 166340.52),(3 339740.84),(4 526058.06),(5 693944.44),(6 818043.75),(7 890642.8),(8 921231.75),(9 934528.56),(10 951290.6),(11 987349.75),(12 1042112.5),(13 1107205.5),(14 1166940.1),(15 1216360.9),(16 1245877.3),(17 1257209.4),(18 1256521.3),(19 1251391.8),(20 1251342),(21 1258371.1),(22 1272978),(23 1290098.5),(24 1302737.5),(25 1310194.5),(26 1308796.4),(27 1303808.4),(28 1304833.3),(29 1312078.4),(30 1332837.6),(31 1364408.8),(32 1402518),(33 1449850.1),(34 1498043.3),(35 1549381.1),(36 1604830.1),(37 1664659.1),(38 1726371),(39 1788195.1),(40 1843284.5),(41 1892857.3),(42 1931573.5),(43 1956407.6),(44 1970090.3),(45 1976824.5),(46 1983567.3),(47 1995207.5),(48 2012173.3),(49 2034769.5),(50 2057265.3),(51 2066417.5),(52 2059076.4),(53 2042133.4),(54 2008974.5),(55 1970881.5),(56 1931596.1),(57 1894020),(58 1862264.8),(59 1842497),(60 1844135.8),(61 1858345),(62 1870417.3),(63 1883771.1),(64 1899838),(65 1918998),(66 1939759),(67 1961018.9),(68 1978404.1),(69 1986506.9),(70 1980652.8),(71 1964132.4),(72 1939322.8),(73 1908605.4),(74 1874867.6),(75 1837052.9),(76 1799807),(77 1760462.6),(78 1726232.4),(79 1704407.1),
(1 57225.555),(2 210501.22),(3 420961.4),(4 635618.8),(5 808897.6),(6 911929.6),(7 941723),(8 918178.94),(9 878782.5),(10 850346.9),(11 857108.44),(12 903827.3),(13 977633.9),(14 1059321.5),(15 1128826.8),(16 1170914),(17 1182397.5),(18 1162404.6),(19 1123699.3),(20 1081819.3),(21 1047092.9),(22 1029833.5),(23 1027364.06),(24 1032826.44),(25 1045309.4),(26 1057628.4),(27 1073094.4),(28 1097298.1),(29 1131321.3),(30 1177237.4),(31 1231693.6),(32 1292691.5),(33 1355650.1),(34 1414206.3),(35 1464029),(36 1504167),(37 1538062),(38 1567229.5),(39 1599537.3),(40 1635284),(41 1675698.6),(42 1716838),(43 1751963.3),(44 1772848.8),(45 1775551.6),(46 1758529),(47 1724259.6),(48 1678328.1),(49 1634611),(50 1605149.8),(51 1594543.6),(52 1601425.8),(53 1619680.5),(54 1638230.4),(55 1649028.8),(56 1646011),(57 1630281.4),(58 1602315.3),(59 1579522.5),(60 1568540.5),(61 1574394.3),(62 1594878),(63 1626897.4),(64 1673313.8),(65 1726141),(66 1781973.6),(67 1836646.6),(68 1884114.3),(69 1920798.8),(70 1943150.8),(71 1950141.5),(72 1944567.6),(73 1935350.4),(74 1925007.1),(75 1913183.3),(76 1900871.9),(77 1889861.1),(78 1885327.3),(79 1887162),
(1 45871.46),(2 165047.25),(3 323616),(4 479747.03),(5 598692.2),(6 663921.06),(7 681805.7),(8 677792.6),(9 680350.6),(10 704867.44),(11 756054.2),(12 821810.7),(13 884609.94),(14 927547.56),(15 944961.5),(16 939152.6),(17 923791.44),(18 910480.44),(19 905541.8),(20 913940.44),(21 926659.25),(22 945794.2),(23 966242.6),(24 981509.6),(25 997447.1),(26 1015776.44),(27 1040882.4),(28 1076727.6),(29 1117148.8),(30 1158815.8),(31 1200380.1),(32 1240097.5),(33 1283601.1),(34 1335011),(35 1393774.5),(36 1455274.3),(37 1517038),(38 1570895.8),(39 1612307.1),(40 1640422.6),(41 1654783.6),(42 1663441.1),(43 1671396.8),(44 1679521.8),(45 1687469.4),(46 1694311.1),(47 1694256.3),(48 1683019.3),(49 1661873),(50 1637679.1),(51 1623952.9),(52 1625490.6),(53 1644668),(54 1676737.3),(55 1715994.4),(56 1748407.4),(57 1770857.9),(58 1777673),(59 1773814.3),(60 1770742.9),(61 1784201.3),(62 1807682.5),(63 1837079.4),(64 1865241.5),(65 1890326.9),(66 1905421.4),(67 1909337.5),(68 1911443.9),(69 1918192.4),(70 1936240.4),(71 1971617.1),(72 2020859),(73 2082052.8),(74 2146987.3),(75 2207149),(76 2252381),(77 2266294),(78 2252324),(79 2215987),
(1 64135.855),(2 236401.23),(3 470482),(4 698509.94),(5 868592.3),(6 955935.4),(7 968916.56),(8 944607.2),(9 925957.7),(10 941478.75),(11 997765.25),(12 1082566.1),(13 1167498.3),(14 1229885.3),(15 1255773.8),(16 1245714.3),(17 1210789.3),(18 1169713.6),(19 1135172.6),(20 1117193.4),(21 1109861.5),(22 1118169.1),(23 1135869.5),(24 1154895.4),(25 1177047.8),(26 1202511.4),(27 1233359.4),(28 1267209.1),(29 1297622.4),(30 1325337.1),(31 1350260.1),(32 1375390),(33 1406110.1),(34 1440332),(35 1479683.4),(36 1522144),(37 1564651.4),(38 1603387.1),(39 1631976.6),(40 1647614.6),(41 1646156.9),(42 1632516.8),(43 1609901.5),(44 1586793.3),(45 1575503.5),(46 1579949.1),(47 1602975.3),(48 1629847.9),(49 1655151.5),(50 1667407.8),(51 1666349.4),(52 1651862.4),(53 1637776.3),(54 1631858.6),(55 1636648.6),(56 1647453),(57 1663565.4),(58 1676347),(59 1683747.4),(60 1691234),(61 1709330.5),(62 1736392.3),(63 1781768.5),(64 1844456.8),(65 1913492.5),(66 1978695.5),(67 2021456),(68 2031953.4),(69 2008332.6),(70 1959864.5),(71 1900596.4),(72 1851512.5),(73 1836345.9),(74 1859898),(75 1914702.9),(76 1988211.4),(77 2058679.1),(78 2107254.8),(79 2120057.3),
(1 60837.918),(2 223783.44),(3 445360.7),(4 661654.75),(5 828163.3),(6 925785.7),(7 963913.44),(8 971293.7),(9 980386.3),(10 1003386.7),(11 1039324.9),(12 1071312.9),(13 1089346.6),(14 1087661.1),(15 1063418.1),(16 1028349.75),(17 996639.75),(18 973604.9),(19 955903.1),(20 946927.56),(21 943680.44),(22 959272.56),(23 997294.56),(24 1057222.6),(25 1141488.9),(26 1234641.8),(27 1324958.6),(28 1403419.8),(29 1458724.3),(30 1497516.5),(31 1520969.4),(32 1532907.5),(33 1544329.5),(34 1548239),(35 1547993.3),(36 1543694.9),(37 1539616.4),(38 1537440.5),(39 1543379.1),(40 1560629.9),(41 1590921.8),(42 1633609.6),(43 1681310.6),(44 1723413.1),(45 1753939),(46 1771883.8),(47 1787275.3),(48 1801658.5),(49 1817244.8),(50 1831804),(51 1840798.4),(52 1841491.4),(53 1840243.6),(54 1841908.8),(55 1845057.8),(56 1853158.1),(57 1865979.1),(58 1881216),(59 1897118.6),(60 1905003.4),(61 1908526),(62 1900796.5),(63 1886897.1),(64 1870380.6),(65 1856747.5),(66 1846739.8),(67 1835502.5),(68 1823715.4),(69 1816680.4),(70 1809424.8),(71 1803947.5),(72 1792242),(73 1776741.1),(74 1757843.4),(75 1742181.5),(76 1746467.1),(77 1771542.6),(78 1820770.9),(79 1879799.1),
(1 55944.2),(2 200969.11),(3 385246.56),(4 547470.44),(5 647768.56),(6 676503.25),(7 657324.2),(8 632434.3),(9 636121.5),(10 681355.75),(11 761304.06),(12 845958.3),(13 908054.5),(14 929813.75),(15 910080),(16 859971.4),(17 802444.06),(18 756344.6),(19 735606),(20 741757),(21 769020.8),(22 809268.6),(23 858740),(24 911535.8),(25 969317.3),(26 1026905.56),(27 1079974),(28 1126359.1),(29 1162606.4),(30 1192960.9),(31 1219673.3),(32 1239904.4),(33 1255221),(34 1266955.4),(35 1272550.4),(36 1272595.8),(37 1267395.9),(38 1259525.6),(39 1251872.8),(40 1245614.1),(41 1247936.5),(42 1260255),(43 1278423.5),(44 1299231.9),(45 1315732.3),(46 1321303.9),(47 1318207.5),(48 1314055.6),(49 1320207.3),(50 1347431.3),(51 1396643.5),(52 1459996.1),(53 1523939.5),(54 1574881.5),(55 1601635.5),(56 1605143.5),(57 1590405.4),(58 1573072.9),(59 1563835.9),(60 1566509.8),(61 1585258.8),(62 1607734.1),(63 1627454.8),(64 1635119.3),(65 1628262.4),(66 1607831.9),(67 1579989.8),(68 1557157.6),(69 1552922.4),(70 1565824.1),(71 1592136.4),(72 1619585.1),(73 1637137.5),(74 1638716.1),(75 1625273.1),(76 1617658),(77 1627732.3),(78 1662606),(79 1716334),
(1 47620.023),(2 171236.67),(3 329430.28),(4 472734.1),(5 569851.6),(6 616669.3),(7 632616.4),(8 652016.5),(9 690405.06),(10 743213.44),(11 793417.06),(12 822986.5),(13 824915),(14 804675.75),(15 780313.1),(16 763856.25),(17 759844.6),(18 765824.44),(19 772800.44),(20 779249.44),(21 784559.6),(22 797355.4),(23 824793.75),(24 865790.4),(25 918979.56),(26 972623.8),(27 1019336),(28 1059617),(29 1094793.4),(30 1128543.9),(31 1159203.5),(32 1186253.8),(33 1206609.6),(34 1220354.8),(35 1226773.4),(36 1228946.5),(37 1228164.1),(38 1225390.9),(39 1222834),(40 1222826.9),(41 1230335.4),(42 1247814.5),(43 1277492.1),(44 1317643.5),(45 1365209.1),(46 1414562.8),(47 1461681.8),(48 1497541.4),(49 1519651.5),(50 1529407.3),(51 1541977.3),(52 1562169.3),(53 1590496.4),(54 1622744.5),(55 1648631.6),(56 1660751.3),(57 1660676.6),(58 1654424.8),(59 1648991.5),(60 1649008.8),(61 1655787.4),(62 1658998.8),(63 1655930.3),(64 1647926),(65 1630765.5),(66 1609618.5),(67 1586036.5),(68 1565299),(69 1555800.1),(70 1557770.3),(71 1578919.3),(72 1612606.9),(73 1653854.6),(74 1689208.1),(75 1715138.6),(76 1735270.4),(77 1755231.3),(78 1786254.9),(79 1825598.3),
(1 56636.035),(2 201445.38),(3 381402.13),(4 536666.4),(5 633402.56),(6 671245),(7 678099.1),(8 692847.94),(9 734106.6),(10 795352.4),(11 859745.25),(12 898690.06),(13 897673.25),(14 859143.1),(15 799492.8),(16 737907.56),(17 695719.2),(18 680141.5),(19 687677.25),(20 712801.94),(21 746241.94),(22 788556.2),(23 835688.56),(24 883236),(25 934436.06),(26 979958.1),(27 1020383.2),(28 1052012.8),(29 1076751.1),(30 1095762.1),(31 1109289.8),(32 1118634.8),(33 1124419.8),(34 1131097.8),(35 1136390.8),(36 1142270),(37 1150103.9),(38 1160881.8),(39 1172938.6),(40 1184377.4),(41 1191985.3),(42 1194090.8),(43 1190630.4),(44 1187673.3),(45 1195142.3),(46 1216542.3),(47 1254615.5),(48 1302788.1),(49 1348191.9),(50 1379530.3),(51 1386357.1),(52 1372465.8),(53 1346452.8),(54 1318863.9),(55 1300533.4),(56 1298525.4),(57 1312437.9),(58 1337492.6),(59 1369143.9),(60 1401424.1),(61 1429700),(62 1448558.4),(63 1455991.3),(64 1460060.1),(65 1465915.4),(66 1475411.4),(67 1488352.8),(68 1512125.1),(69 1544394.9),(70 1580376.5),(71 1619356.3),(72 1645584.4),(73 1660572.1),(74 1657480.9),(75 1643004.8),(76 1632632.9),(77 1634837.5),(78 1658543.5),(79 1691205.1),
(1 53174.26),(2 187389.8),(3 353612.84),(4 501050.47),(5 604164.94),(6 669316.94),(7 718723.3),(8 773759.3),(9 837606.4),(10 892507.06),(11 923840.4),(12 920598.9),(13 887826.1),(14 840588.9),(15 798165.5),(16 768810),(17 756194.3),(18 754996),(19 760760.2),(20 779300.4),(21 815788.94),(22 883556.5),(23 972793.9),(24 1065352.5),(25 1144366.3),(26 1195542.9),(27 1220987),(28 1224032.4),(29 1212976.1),(30 1196693),(31 1178745.1),(32 1164246.6),(33 1155520.3),(34 1157027.3),(35 1167760.5),(36 1180507.3),(37 1191104.3),(38 1192493.1),(39 1185038.1),(40 1172507.9),(41 1161754.5),(42 1160697),(43 1169456.4),(44 1188953),(45 1218787.1),(46 1253308.3),(47 1292992),(48 1332890.6),(49 1369475.9),(50 1397875),(51 1417670.6),(52 1422512.1),(53 1414774.4),(54 1400821),(55 1391014.9),(56 1394808.6),(57 1412183.4),(58 1430946.3),(59 1447186.9),(60 1455291.4),(61 1455198.8),(62 1448763.4),(63 1436379.9),(64 1422734.6),(65 1416089.4),(66 1416465.8),(67 1424245.8),(68 1441726.6),(69 1468105),(70 1501594.1),(71 1542973.1),(72 1588997.5),(73 1639429.4),(74 1680393.4),(75 1699587),(76 1699706.3),(77 1685385.1),(78 1675494.9),(79 1683423),
(1 53863.223),(2 191417.69),(3 355986.94),(4 490763.2),(5 569215.2),(6 605282.4),(7 636953.94),(8 691144.4),(9 763186.3),(10 827192.9),(11 857670.56),(12 839649.94),(13 783386.4),(14 712384.75),(15 657377.44),(16 638752.06),(17 662764.6),(18 715469.94),(19 780241.5),(20 842852.8),(21 895978.5),(22 944075.2),(23 987751.75),(24 1025249.3),(25 1055570.3),(26 1074439.3),(27 1085581.5),(28 1086436.5),(29 1073475.3),(30 1052474.5),(31 1030965.3),(32 1018296.44),(33 1019021.3),(34 1030491),(35 1050328.9),(36 1072150),(37 1091918.3),(38 1104617.1),(39 1107942.8),(40 1104702),(41 1100459.9),(42 1106293.8),(43 1127239.8),(44 1163245.8),(45 1207359.1),(46 1242804.8),(47 1258441.5),(48 1254028.3),(49 1239280.5),(50 1228681.4),(51 1230978.9),(52 1247799.5),(53 1266522.1),(54 1284187.8),(55 1300443.6),(56 1314155.9),(57 1329792),(58 1346392.9),(59 1364569.6),(60 1381935),(61 1392407.5),(62 1392027.8),(63 1378569.4),(64 1362872.6),(65 1353801),(66 1365258.9),(67 1392640.4),(68 1430383.8),(69 1460167.1),(70 1469353.3),(71 1467526),(72 1462479),(73 1472685.5),(74 1503845.8),(75 1545582.6),(76 1581248.4),(77 1595933.4),(78 1593875.9),(79 1591052.5),
