1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 12221.398),(2 38387.645),(3 81419.1),(4 129699.69),(5 187098.61),(6 247245.31),(7 313965.97),(8 378076.6),(9 445839.84),(10 516405.47),(11 584646.1),(12 640717.25),(13 694420.7),(14 738667.7),(15 785705.44),(16 828702.2),(17 871358.94),(18 914732.06),(19 962316.5),(20 1015532.7),(21 1074218.9),(22 1128273.9),(23 1180354.5),(24 1218876.9),(25 1261977.6),(26 1289856.8),(27 1324690.1),(28 1342499.6),(29 1362878.8),(30 1376873.6),(31 1394177.1),(32 1409529),(33 1422840),(34 1435817),(35 1453504.6),(36 1477454.4),(37 1521167.6),(38 1570257.4),(39 1640558),(40 1705498),(41 1781788),(42 1853193),(43 1914453.6),(44 1960660.4),(45 2008279.1),(46 2055442.4),(47 2112688.3),(48 2169999),(49 2243773.8),(50 2318919.3),(51 2416307),(52 2508559.8),(53 2612300.3),(54 2710036.8),(55 2813161.3),(56 2941027),(57 3066708.3),(58 3193752.8),(59 3326609.8),(60 3443486.3),(61 3573595.3),(62 3687552.3),(63 3823830.3),(64 3942799.8),(65 4076053),(66 4211736.5),(67 4351732.5),(68 4497064.5),(69 4638340),(70 4774714.5),(71 4929546.5),(72 5083663),(73 5229181.5),(74 5362923.5),(75 5546403.5),(76 5707982.5),(77 5869045.5),(78 6016686.5),(79 6163455.5),
(1 21295.986),(2 80029.18),(3 171930.89),(4 291196.03),(5 433301.75),(6 595903.5),(7 776145.56),(8 964349.6),(9 1151499.1),(10 1333967.6),(11 1508055),(12 1673088.9),(13 1825322.8),(14 1961154.3),(15 2082480.4),(16 2187405.8),(17 2278322),(18 2355131.3),(19 2416926),(20 2464670.3),(21 2503095),(22 2532290.5),(23 2553225),(24 2569406),(25 2585065.5),(26 2596200),(27 2601598.5),(28 2601487),(29 2599410.5),(30 2591357),(31 2591925.5),(32 2596626.3),(33 2604961.5),(34 2608815.8),(35 2610087.3),(36 2623895),(37 2644185.5),(38 2663313.5),(39 2689214.3),(40 2718032.8),(41 2749564.3),(42 2784657.5),(43 2824103.5),(44 2867210.3),(45 2910602.5),(46 2953396.5),(47 2996225),(48 3025182),(49 3046603.8),(50 3057442.8),(51 3066834.5),(52 3072294),(53 3066212.5),(54 3055886),(55 3048378),(56 3033741.5),(57 3020388.3),(58 3003130),(59 2987871.8),(60 2974679.8),(61 2963832.3),(62 2947515.5),(63 2931612.8),(64 2914804.5),(65 2899996.8),(66 2883850),(67 2870840),(68 2860631.8),(69 2852176.3),(70 2846183),(71 2849873),(72 2856401.8),(73 2872318),(74 2891006.5),(75 2918622.3),(76 2946558),(77 2972769.5),(78 2993751.8),(79 3005017.8),
(1 20272.021),(2 75499.766),(3 160919.55),(4 270748.16),(5 400820),(6 544040.5),(7 701701.5),(8 866292),(9 1029790.5),(10 1192089),(11 1354843),(12 1512317.9),(13 1660942),(14 1799328.6),(15 1925540.4),(16 2037321.6),(17 2139583.5),(18 2229540.5),(19 2305587.8),(20 2371480.3),(21 2427093.3),(22 2469884.8),(23 2508467.3),(24 2539839.8),(25 2560864.3),(26 2569308.8),(27 2568742.8),(28 2558374.8),(29 2535089.8),(30 2499338.3),(31 2459974.3),(32 2419920.3),(33 2386137.8),(34 2347113.3),(35 2315921.3),(36 2291749.3),(37 2275944),(38 2268954.8),(39 2272835.8),(40 2281701.5),(41 2298543.8),(42 2317699),(43 2345204),(44 2372372.8),(45 2398781.3),(46 2422760),(47 2446745.5),(48 2466509.8),(49 2486831.3),(50 2500749.8),(51 2512347.8),(52 2524746.3),(53 2532538.3),(54 2538836.8),(55 2546017.8),(56 2551487.3),(57 2554651.8),(58 2553075.8),(59 2546488.3),(60 2531369),(61 2515147),(62 2494953.3),(63 2469998.3),(64 2444180),(65 2413305.8),(66 2377407.8),(67 2339080),(68 2293927),(69 2248949.3),(70 2203699.8),(71 2166446.8),(72 2133062.8),(73 2107179.5),(74 2084062.6),(75 2069189),(76 2060316.1),(77 2055463.6),(78 2056633.5),(79 2060725.6),
(1 23648.768),(2 88563.54),(3 190227.4),(4 321358.7),(5 480003.38),(6 661741.5),(7 862421.94),(8 1075318.1),(9 1290895.6),(10 1502123.9),(11 1710227.5),(12 1905533.5),(13 2085452.5),(14 2244798.5),(15 2382494.3),(16 2496655.8),(17 2586266),(18 2653420.3),(19 2696634),(20 2720294.8),(21 2729195.5),(22 2720291.8),(23 2703425.3),(24 2680010),(25 2649941),(26 2609364.8),(27 2567144),(28 2516960.3),(29 2455789.8),(30 2388874),(31 2321362),(32 2250995),(33 2181735),(34 2105715.3),(35 2037314.1),(36 1973247),(37 1918749.9),(38 1875613.6),(39 1844775.5),(40 1825475.4),(41 1818762.5),(42 1820681.9),(43 1834181),(44 1858406.1),(45 1894112.6),(46 1938388.1),(47 1987497.3),(48 2040245.8),(49 2100985),(50 2159766.3),(51 2218771.3),(52 2266413.5),(53 2304955.5),(54 2336037.8),(55 2363701.5),(56 2381583.5),(57 2394451),(58 2400058.8),(59 2403889.5),(60 2394856.3),(61 2380459.5),(62 2352451),(63 2315266),(64 2269306),(65 2221642.5),(66 2169611.8),(67 2116761),(68 2066936),(69 2019179.5),(70 1975956.8),(71 1941355),(72 1914763.3),(73 1899428),(74 1892470.5),(75 1895537.3),(76 1900500.6),(77 1910872.4),(78 1929494.1),(79 1958020.8),
(1 27052.59),(2 102678.27),(3 219891.23),(4 369820.44),(5 544721.6),(6 735500.8),(7 938175.5),(8 1146368.8),(9 1358662.5),(10 1566254.9),(11 1768892.5),(12 1959000.1),(13 2138492.8),(14 2307615.3),(15 2462056.3),(16 2596398.8),(17 2712480.3),(18 2806046.5),(19 2881785.3),(20 2937755.3),(21 2974126.5),(22 2995515.3),(23 3003813.8),(24 2992502.5),(25 2967526),(26 2928819.3),(27 2875521),(28 2813503),(29 2745114.3),(30 2670416.3),(31 2588425),(32 2498981.3),(33 2408938.5),(34 2317875.8),(35 2232266.8),(36 2150909),(37 2075261.5),(38 2007840.4),(39 1950121.1),(40 1904868.8),(41 1873567.3),(42 1856106.4),(43 1848613),(44 1850204),(45 1862647.9),(46 1883613),(47 1910167.5),(48 1938657),(49 1975619.5),(50 2013381.3),(51 2056674.1),(52 2099837.8),(53 2136939.5),(54 2170872.8),(55 2207369.3),(56 2237631.3),(57 2267009.3),(58 2285327),(59 2302158.5),(60 2309384),(61 2308294.5),(62 2293515),(63 2268790.3),(64 2232968.8),(65 2194628),(66 2150525.8),(67 2108422),(68 2070715.5),(69 2041750.1),(70 2015907.6),(71 1994114.4),(72 1972030.4),(73 1961744.1),(74 1960455.4),(75 1971167.6),(76 1990302.1),(77 2019063.4),(78 2051696.6),(79 2087727.4),
(1 22678.51),(2 84740.62),(3 179283.56),(4 300354.03),(5 438996.22),(6 588540.94),(7 742649.25),(8 898877.6),(9 1053794.5),(10 1199685.6),(11 1338421.1),(12 1463484),(13 1578014.4),(14 1679204.8),(15 1768028),(16 1843034.5),(17 1908783.1),(18 1966681.1),(19 2018116.5),(20 2064676.9),(21 2104552.5),(22 2135222.5),(23 2159759),(24 2178198),(25 2189251.5),(26 2194354.5),(27 2194137.8),(28 2189357.8),(29 2181219.8),(30 2164775.5),(31 2144762.8),(32 2120811.8),(33 2094142.3),(34 2068069.9),(35 2043151.4),(36 2021016.8),(37 2000652.5),(38 1979308.1),(39 1957344.5),(40 1938693.6),(41 1923879.8),(42 1905555.8),(43 1886200.5),(44 1868767.3),(45 1855085),(46 1839274.9),(47 1823727.3),(48 1806168.9),(49 1792762.9),(50 1781880.5),(51 1777017.1),(52 1779034.9),(53 1785408.5),(54 1791761.5),(55 1798989.6),(56 1799962.4),(57 1798054.5),(58 1792189.9),(59 1783950.3),(60 1774335),(61 1762315.3),(62 1750055.8),(63 1743557.8),(64 1738755.1),(65 1737920.9),(66 1740854.4),(67 1753220.9),(68 1770481),(69 1792088.9),(70 1813661.5),(71 1833059.9),(72 1846567.5),(73 1857981.9),(74 1865092.8),(75 1869690.6),(76 1871845),(77 1870119.8),(78 1864497.1),(79 1854740.1),
(1 18838.572),(2 70765.87),(3 149672.27),(4 248851.31),(5 363092.38),(6 488769.66),(7 622444.3),(8 759702.06),(9 898391.2),(10 1033671),(11 1167662.8),(12 1298836.5),(13 1424212.6),(14 1543830),(15 1654476.3),(16 1751279.8),(17 1833969.1),(18 1902418.1),(19 1957593.6),(20 1993824.5),(21 2015084),(22 2018650.6),(23 2009859.3),(24 1990732.8),(25 1969767.5),(26 1946163.8),(27 1923333.9),(28 1898741.4),(29 1872403.8),(30 1850636.3),(31 1831880.8),(32 1815461.9),(33 1796941.1),(34 1775331.8),(35 1752795.4),(36 1727687.8),(37 1707575.3),(38 1693882.9),(39 1682298.4),(40 1673739.1),(41 1668410.5),(42 1664101.6),(43 1663378.1),(44 1663994.4),(45 1667527.8),(46 1668136),(47 1664987.8),(48 1657747.4),(49 1646913.6),(50 1628379.3),(51 1602808.8),(52 1574390.4),(53 1539217.9),(54 1502096.8),(55 1463795.5),(56 1430841.6),(57 1398539.9),(58 1370806.6),(59 1350223.3),(60 1335170.9),(61 1324490),(62 1318299.8),(63 1321535.8),(64 1326273.3),(65 1330256.5),(66 1334509.4),(67 1339470.6),(68 1343275.6),(69 1343092),(70 1337422.6),(71 1330601.4),(72 1322532.3),(73 1317646.4),(74 1314154.5),(75 1313817.1),(76 1318854.9),(77 1331225.1),(78 1346577.1),(79 1365570.3),
(1 21884.303),(2 82702.89),(3 175821.88),(4 292306.66),(5 424779.13),(6 567056.6),(7 713869.3),(8 855725.8),(9 986640.25),(10 1101930.5),(11 1202122.9),(12 1286479.9),(13 1355110.8),(14 1410387.3),(15 1454477.4),(16 1486396.6),(17 1508711.8),(18 1522071.6),(19 1528974.6),(20 1527109.4),(21 1516692.1),(22 1498961.5),(23 1475811.9),(24 1447820.6),(25 1422281.6),(26 1398849),(27 1376081.5),(28 1353464.3),(29 1335494.8),(30 1323888.3),(31 1320931.9),(32 1324916),(33 1333603.9),(34 1345994.4),(35 1359859.4),(36 1377644.9),(37 1402635.4),(38 1431882.5),(39 1462967.1),(40 1496265.5),(41 1535244.9),(42 1579303),(43 1629925.6),(44 1680989.9),(45 1732415.5),(46 1777973.1),(47 1816282.4),(48 1842937.5),(49 1855191.9),(50 1854128.9),(51 1845152.1),(52 1823864.8),(53 1797410.5),(54 1764128.3),(55 1723735.5),(56 1683341.1),(57 1643419),(58 1607089.4),(59 1576520.8),(60 1558005.6),(61 1544501.1),(62 1531978.6),(63 1520165.4),(64 1501481.5),(65 1480976.8),(66 1456390.8),(67 1430879.8),(68 1404199),(69 1376936),(70 1349090.6),(71 1320504),(72 1291402.9),(73 1263262.8),(74 1240848.5),(75 1222910.6),(76 1210645.1),(77 1203336),(78 1202567.8),(79 1208203.6),
(1 23113.69),(2 88090.62),(3 189151.94),(4 319264.16),(5 471540.94),(6 638391.2),(7 815262.7),(8 991083.75),(9 1157845.1),(10 1314266.8),(11 1450532.6),(12 1558928.8),(13 1637381.9),(14 1684832.8),(15 1708503.8),(16 1706480.8),(17 1684801),(18 1650577.5),(19 1606096.8),(20 1555300.4),(21 1502272.5),(22 1445826.4),(23 1391373.9),(24 1340349.8),(25 1295116.9),(26 1257005.6),(27 1230176.3),(28 1208593.8),(29 1192983.8),(30 1183380.9),(31 1179130.1),(32 1182724.6),(33 1192647.3),(34 1206007.4),(35 1225611.9),(36 1250099.6),(37 1276105.4),(38 1303044.6),(39 1328560.1),(40 1350134.6),(41 1373972.9),(42 1396188.1),(43 1420077.8),(44 1445590.4),(45 1469618.9),(46 1493496),(47 1513743.8),(48 1535204.3),(49 1553115),(50 1572296.4),(51 1593254),(52 1609623.8),(53 1621797.9),(54 1630832.6),(55 1632019.1),(56 1626996.1),(57 1623485.4),(58 1617761),(59 1612443.5),(60 1606508.1),(61 1604219.6),(62 1598196.8),(63 1589120.6),(64 1581092.9),(65 1573138.1),(66 1565159),(67 1556952.6),(68 1548283.1),(69 1538530.5),(70 1525632.5),(71 1512574.3),(72 1494790.5),(73 1477585.1),(74 1461611.4),(75 1447463),(76 1439022.6),(77 1437954.5),(78 1442809.9),(79 1457536.6),
(1 22882.68),(2 86391.28),(3 182735.69),(4 300527.13),(5 433625.8),(6 574649),(7 715988.6),(8 852218.56),(9 977475.4),(10 1092647.9),(11 1192750.3),(12 1276799.5),(13 1349146.5),(14 1409449.5),(15 1465940.3),(16 1513553.3),(17 1553697),(18 1585213.8),(19 1608397.3),(20 1621385.5),(21 1613288.3),(22 1592407.8),(23 1565516.3),(24 1530659.9),(25 1493271.3),(26 1458280.8),(27 1421292.9),(28 1388679.3),(29 1358357.9),(30 1328860),(31 1302612.3),(32 1275121.1),(33 1251995),(34 1231068.8),(35 1209617.5),(36 1187702.4),(37 1167033),(38 1144036.4),(39 1122168.4),(40 1100297.5),(41 1082996.8),(42 1068266.6),(43 1058566),(44 1054907.5),(45 1056450.4),(46 1063351.8),(47 1075268),(48 1095779.1),(49 1117949.8),(50 1143177.1),(51 1169488.4),(52 1196576.8),(53 1224535.4),(54 1247934.1),(55 1264986.8),(56 1279095),(57 1293021),(58 1306483.5),(59 1318605),(60 1327644.1),(61 1336347.9),(62 1340361),(63 1339613.1),(64 1339051.5),(65 1337318.3),(66 1338979.3),(67 1339442.3),(68 1344860.6),(69 1351782.3),(70 1357802.9),(71 1362001.8),(72 1359851.8),(73 1352378),(74 1341633.5),(75 1327105.8),(76 1310803.9),(77 1296390.5),(78 1282312.3),(79 1268539.5),
(1 20975.38),(2 78314.97),(3 165079.58),(4 270537.47),(5 386998.9),(6 507611.25),(7 628029.75),(8 743050.7),(9 847413.3),(10 941224.2),(11 1022150.7),(12 1087986.6),(13 1137982.8),(14 1173236.4),(15 1195295.5),(16 1203248.6),(17 1200998),(18 1188597.1),(19 1169032.6),(20 1144134),(21 1112794.1),(22 1081666.3),(23 1052916),(24 1025318.94),(25 1000762.8),(26 982586.5),(27 969131.25),(28 963545.6),(29 965788.3),(30 973360.3),(31 983722.25),(32 995629.2),(33 1009576.2),(34 1022939.56),(35 1036504.75),(36 1050288.1),(37 1063563.9),(38 1072660.8),(39 1075808),(40 1074962.8),(41 1068899.8),(42 1061887.9),(43 1055442.8),(44 1048051.1),(45 1039391.44),(46 1030859.56),(47 1024785.3),(48 1023261.4),(49 1029727.1),(50 1043308.1),(51 1061238.5),(52 1077832.5),(53 1091711.1),(54 1103772.8),(55 1111334.9),(56 1114660.8),(57 1114185.3),(58 1111766.9),(59 1106604.4),(60 1098647.4),(61 1086303.4),(62 1071557.3),(63 1060540.4),(64 1053114.4),(65 1048560.9),(66 1043622.7),(67 1040869.8),(68 1040087.4),(69 1039400.9),(70 1034905.2),(71 1025755.8),(72 1015685.4),(73 1006773.4),(74 1000919.1),(75 998942.94),(76 1000711.56),(77 1003396.1),(78 1009935.1),(79 1019720.56),
(1 22821.16),(2 85907.48),(3 181509.4),(4 298778.25),(5 427239.53),(6 558413.7),(7 683286.2),(8 795383),(9 888528.75),(10 962755.2),(11 1017298.3),(12 1052448.1),(13 1067012),(14 1065981.5),(15 1056570.5),(16 1036537.4),(17 1009729.6),(18 975545),(19 937201.1),(20 900394.5),(21 863598.9),(22 830948.56),(23 803367),(24 782859.9),(25 765370.06),(26 752982.5),(27 742849.25),(28 739597.5),(29 741321.7),(30 748092.7),(31 756921.1),(32 766166.06),(33 778399.3),(34 794265.4),(35 816056.44),(36 840580.6),(37 866902.9),(38 892161.5),(39 916748.94),(40 939258.94),(41 956884.56),(42 967524.94),(43 971507.56),(44 967761.8),(45 960920.8),(46 951077),(47 940321.6),(48 931374.1),(49 924475.5),(50 919961.2),(51 920568),(52 921923.9),(53 924415.06),(54 930391.7),(55 936015.44),(56 937661),(57 931858.56),(58 919365.2),(59 900125.56),(60 875743.44),(61 850334),(62 824908.4),(63 803160.75),(64 789859.25),(65 785124.7),(66 785270.4),(67 789045.6),(68 795642.7),(69 802806.9),(70 814350.7),(71 828650.6),(72 845269.6),(73 860907.06),(74 874569.6),(75 885285.94),(76 891180.8),(77 894332.94),(78 900800.44),(79 910457.6),
(1 22281.393),(2 84011.64),(3 177899.19),(4 296956.2),(5 430989),(6 570679.06),(7 706286.94),(8 829303.94),(9 938219.25),(10 1028132.9),(11 1100906.6),(12 1156856.5),(13 1197342.3),(14 1222126.6),(15 1227171.4),(16 1215534.4),(17 1192429),(18 1159237.1),(19 1117205.5),(20 1074728.4),(21 1031566),(22 988710),(23 952194.1),(24 919260.75),(25 893791.94),(26 873992.2),(27 863373.25),(28 862637.44),(29 866459.6),(30 876607),(31 888761.75),(32 901602.06),(33 914002.4),(34 928261.44),(35 942787.3),(36 958128.56),(37 975657),(38 992058.7),(39 1010502.44),(40 1028726.7),(41 1045487.7),(42 1061232.9),(43 1075705.8),(44 1088658.9),(45 1106596.9),(46 1123380.5),(47 1140211.6),(48 1155312.8),(49 1169180.9),(50 1179560.1),(51 1190517.8),(52 1192942.6),(53 1188626.8),(54 1187628.1),(55 1183203.5),(56 1177498.8),(57 1168590.9),(58 1155057.9),(59 1137537.8),(60 1118506.8),(61 1095646.5),(62 1071512.1),(63 1046589),(64 1017428.44),(65 989418.44),(66 962782.1),(67 937531.25),(68 917465.2),(69 907461.6),(70 903391.25),(71 904843.75),(72 908329),(73 916827.1),(74 926732.8),(75 935114),(76 937704.75),(77 940044.25),(78 942524.3),(79 943882.75),
(1 20905.56),(2 76918.01),(3 159634),(4 259684.84),(5 371071.97),(6 486649.4),(7 600547.25),(8 707856),(9 804220.06),(10 887953.2),(11 958951),(12 1016210.6),(13 1059438.4),(14 1086991.9),(15 1097397.4),(16 1094814.8),(17 1078983.9),(18 1053008.5),(19 1015748),(20 972400.4),(21 924795.44),(22 880297.9),(23 841368.2),(24 812143.6),(25 793141.3),(26 781468.56),(27 775642.6),(28 773483.4),(29 773498.06),(30 778649),(31 787400.2),(32 797453.7),(33 808687),(34 820304.94),(35 831787.4),(36 841738.06),(37 852662.7),(38 863091.56),(39 872862.1),(40 882727.25),(41 894871.06),(42 908370.44),(43 923012.06),(44 936845.94),(45 955003),(46 973235.25),(47 989864.2),(48 1005717.56),(49 1019240.4),(50 1028053.9),(51 1033879.75),(52 1030099.75),(53 1022809.3),(54 1014203.25),(55 1005772.44),(56 999025.5),(57 990147.8),(58 976563.56),(59 960098.8),(60 943010.1),(61 925979.44),(62 911734.8),(63 901452.44),(64 895860.44),(65 894364.56),(66 895773.2),(67 899471.56),(68 907419.2),(69 917345.4),(70 929301.1),(71 941327.06),(72 950771.2),(73 956754.25),(74 959801.4),(75 960024.6),(76 956285.4),(77 952189.75),(78 947479.25),(79 943516.06),
(1 19235.518),(2 70221.625),(3 143599.6),(4 229528.89),(5 320502.53),(6 412482.88),(7 498436.88),(8 574658.06),(9 639115.9),(10 690783.4),(11 727317.5),(12 750741.06),(13 762448.8),(14 764130.7),(15 756869.9),(16 740637.25),(17 718995.94),(18 693987.6),(19 667975),(20 641759.44),(21 618904.9),(22 601366.06),(23 588779.6),(24 582943.06),(25 584740.56),(26 591664.6),(27 603312.56),(28 616725.25),(29 634095.75),(30 656482.56),(31 682075.06),(32 709177.44),(33 734226.94),(34 756754.94),(35 772740.8),(36 780628.25),(37 782235.4),(38 773899.2),(39 760336.8),(40 745780.8),(41 733021.5),(42 722844.7),(43 716697.06),(44 714663.1),(45 716878.9),(46 721954.2),(47 729270.4),(48 736818.25),(49 745558.9),(50 754576.44),(51 761722.1),(52 765398.25),(53 764582.4),(54 762533.3),(55 758483.2),(56 752734.7),(57 743416.6),(58 732863.4),(59 724061),(60 715580.94),(61 706945.7),(62 698046.6),(63 693552.9),(64 694804.56),(65 701050.94),(66 710414.2),(67 721993.3),(68 733183.4),(69 745325.94),(70 754350.56),(71 760565),(72 760086.94),(73 755987.75),(74 746926.3),(75 736129.4),(76 723219.1),(77 709593.44),(78 696346.56),(79 681432.56),
(1 16791.08),(2 61157.754),(3 125652.16),(4 201142.8),(5 278738.88),(6 354150.4),(7 422587.25),(8 481468.63),(9 529558.25),(10 566533.1),(11 592609.44),(12 607072.7),(13 608928.75),(14 600342.3),(15 587255.06),(16 567477.7),(17 543826.6),(18 519161.6),(19 495247.88),(20 471448.84),(21 450451.25),(22 435979.78),(23 428474.53),(24 426987.47),(25 430564.03),(26 437580.03),(27 446076.1),(28 456423.38),(29 469098.22),(30 487628.63),(31 505744.75),(32 520606.4),(33 529987),(34 533526.6),(35 532500.4),(36 525189.75),(37 513412.63),(38 500465.16),(39 489376.97),(40 484766.72),(41 486743.28),(42 496175.72),(43 510972),(44 528954.06),(45 549657.7),(46 570354.56),(47 593564),(48 616826.1),(49 639734.25),(50 664190.25),(51 688946.56),(52 712962.94),(53 734669.2),(54 754745.94),(55 768713),(56 777203.3),(57 776742.94),(58 766262.4),(59 751290.06),(60 733980.7),(61 717843.6),(62 697992.25),(63 678495.25),(64 659770.06),(65 642239.25),(66 626763.44),(67 610548.06),(68 594358.94),(69 578687.75),(70 563620.9),(71 549883.94),(72 535264.9),(73 520539.28),(74 502699.9),(75 479680.3),(76 455889.7),(77 436334.66),(78 422970.4),(79 415963.66),
(1 14172.255),(2 51232.69),(3 104585.2),(4 165444.52),(5 227372.42),(6 288005.4),(7 343084.28),(8 391454.94),(9 433984.38),(10 471718.2),(11 505637.9),(12 532135.9),(13 547223.1),(14 552522.6),(15 550136.1),(16 545152.4),(17 534630.7),(18 520484.44),(19 506275.63),(20 491789.72),(21 476486.9),(22 463284.8),(23 454141),(24 446186),(25 442710.1),(26 441953.44),(27 441446.1),(28 441221.34),(29 441379.34),(30 440655.2),(31 438935.25),(32 436058.66),(33 429887.53),(34 423581.8),(35 416982.1),(36 410943.56),(37 403138.8),(38 396794),(39 395076.25),(40 396334.56),(41 399533.53),(42 405236.56),(43 415452.2),(44 428621.9),(45 446578.38),(46 468079.84),(47 491533.8),(48 516704),(49 539858),(50 560591.06),(51 576259.1),(52 588964.1),(53 595943.5),(54 593744.75),(55 587825.8),(56 576990.9),(57 561512.1),(58 543457.25),(59 525178.5),(60 507705.84),(61 492856.2),(62 477052.1),(63 464056.28),(64 451459.8),(65 438003.2),(66 427036.34),(67 416103.9),(68 406530.9),(69 397423.2),(70 388167.22),(71 381152.63),(72 373237.28),(73 370010.97),(74 369327.7),(75 373207.38),(76 383140.1),(77 397061.16),(78 415677.44),(79 433489.06),
(1 15345.9),(2 56531.79),(3 116552.89),(4 186486.72),(5 257049.95),(6 325418.94),(7 387880.3),(8 444367.13),(9 496003.66),(10 540246),(11 576145.06),(12 600563.3),(13 611092.25),(14 609616.56),(15 600326.75),(16 585318.25),(17 566047.94),(18 544465.5),(19 522405.47),(20 501561.06),(21 483170.03),(22 467466.97),(23 456146.1),(24 448846.13),(25 443791.9),(26 440473.47),(27 436595.78),(28 434403.72),(29 435232.97),(30 438192.44),(31 439169.8),(32 435243.13),(33 426755.56),(34 415476.1),(35 401508.72),(36 386016.8),(37 372898.2),(38 364469.5),(39 362369.38),(40 366005.7),(41 373541.8),(42 387466.84),(43 407425.34),(44 430774.94),(45 456301.47),(46 482414.84),(47 509021.7),(48 531482.56),(49 549171.6),(50 560379.7),(51 563131),(52 564893.06),(53 562513.7),(54 554268.25),(55 540162.4),(56 522180.88),(57 503491.72),(58 485250.3),(59 465323.03),(60 445885.9),(61 429038.4),(62 412736.53),(63 401883.8),(64 392779.2),(65 386421.25),(66 381086.94),(67 375911.8),(68 370820.2),(69 367446.88),(70 366481.66),(71 368646.13),(72 374012.34),(73 380754.63),(74 387352.56),(75 396146.03),(76 406121.7),(77 416217.97),(78 425912.72),(79 433206.94),
